Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Total_T_cells_-_%_of_CD45+,Ly6C+_CD5+_T_cells_-_%_of_CD5+_T_cells,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_NKT_cells,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Immature_NK_cells_-_%_of_NK_cells,Ly6C+_immature_NK_cells_-_%_of_immature_NK_cells,Mature_NK_cells_-_%_of_NK_cellls,Ly6C+_mature_NK_cells_-_%_of_mature_NK_cells,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Marginal_zone_B_cells_-_%_of_B2_cells,Marginal_zone_precursor_B_cells_-_%_of_B2_cells,Transitional_1_B_cells_-_%_of_B2_cells,Transitional_2_B_cells_-_%_of_B2_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Early_germinal_centre_B_cells_-_%_of_B2_cells,Late_germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Ly6C+_CD5+_T_cells_-_%_of_lymphocytes,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_lymphocytes,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Immature_NK_cells_-_%_of_lymphocytes,Ly6C+_immature_NK_cells_-_%_of_lymphocytes,Mature_NK_cells_-_%_of_lymphocytes,Ly6C+_mature_NK_cells_-_%_of_lymphocytes,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Marginal_zone_B_cells_-_%_of_CD45+,Marginal_zone_precursor_B_cells_-_%_of_CD45+,Transitional_1_B_cells_-_%_of_CD45+,Transitional_2_B_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,B2_marginal_zone_+_precursor_cells_-_%_of_lymphocytes,B2_t1_+_t2_cells_-_%_of_lymphocytes,B2_t3_+_f1+_f2_+_gc_cells_-_%_of_lymphocytes,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Gmds,M02089197,Gmds:Hom,Hom,Female,2015-07-06,MGCX,26.467,51.638,93.287,54.252,92.398,25.038,74.544,1.112,7.505,45.656,54.211,11.174,45.209,4.112,38.285,55.948,0.591,6.713,51.951,32.889,64.597,1.069,1.033,81.56,76.727,23.896,76.188,2.23,23.273,78.363,20.111,7.628,1.129,25.222,74.926,28.293,37.443,36.015,62.557,37.906,54.343,2.672,97.328,2.186,1.084,10.594,2.033,83.796,0.583,98.712,1.288,0.216,0.155,5.93,11.928,81.15,7.949,1.853,45.463,30.734,14.73,26.004,8.335,48.34,51.66,61.928,37.488,11.688,15.548,24.691,13.395,12.377,3.099,9.226,0.138,1.005,0.459,0.545,0.112,11.162,0.459,4.274,6.245,0.066,1.777,0.923,0.584,1.148,0.019,0.825,0.792,0.189,0.604,0.018,0.24,0.188,0.048,0.018,0.285,0.846,0.319,0.459,0.165,0.766,0.29,1.452,52.891,1.156,0.573,5.603,1.075,44.32,0.308,0.304,0.004,0.114,0.082,3.153,6.341,43.14,0.147,3.614,2.443,1.171,2.067,0.663,0.32,0.342,0.212,0.128,0.015
Atad3a,M02083310,Atad3a:Het,Het,Male,2015-07-08,MGPY,26.733,51.526,95.671,59.207,89.308,35.461,64.502,1.464,10.753,46.059,53.634,10.215,40.352,11.724,37.599,46.562,2.61,4.329,46.774,43.376,55.012,0.259,0.821,55.183,51.847,51.057,49.021,2.506,48.153,81.029,19.056,8.6,1.661,28.503,71.658,29.486,34.37,13.316,65.63,37.712,53.852,1.702,98.298,5.817,2.512,7.272,3.88,80.015,0.542,96.081,3.919,0.998,0.281,9.868,10.154,78.37,8.07,5.138,31.132,18.967,12.164,20.43,9.071,28.324,71.676,65.565,33.799,14.662,16.542,25.575,15.142,13.523,4.796,8.723,0.198,1.628,0.75,0.873,0.166,10.32,1.21,3.88,4.805,0.269,1.157,0.541,0.502,0.637,0.003,0.435,0.426,0.217,0.209,0.011,0.395,0.32,0.075,0.034,0.473,1.19,0.49,0.718,0.096,1.372,0.517,0.916,52.935,3.079,1.33,3.85,2.054,42.356,0.287,0.276,0.011,0.528,0.149,5.375,5.531,42.691,0.415,2.512,1.531,0.982,1.649,0.732,0.207,0.525,0.344,0.177,0.026
Pam16,M02085550,Pam16(b):Het,Het,Female,2015-07-08,MUEK,29.832,40.386,94.916,59.238,90.519,27.045,72.81,1.122,9.559,42.349,57.36,8.669,40.279,4.416,24.284,68.743,0.506,5.084,50.989,30.374,66.505,0.286,1.304,33.51,14.925,48.288,50.856,6.164,85.075,49.264,50.466,20.126,2.053,14.756,85.308,54.497,17.443,11.69,82.557,39.581,54.868,2.777,97.223,4.104,3.573,8.297,4.838,79.021,0.364,79.335,20.665,0.413,0.405,5.55,11.683,81.145,5.336,6.422,40.514,25.145,15.368,8.702,14.2,21.381,78.619,56.463,43.313,8.915,14.504,28.315,16.773,15.183,4.106,11.055,0.17,1.603,0.679,0.92,0.139,11.405,0.504,2.77,7.84,0.058,1.517,0.773,0.461,1.009,0.004,0.172,0.195,0.094,0.099,0.012,1.11,0.547,0.56,0.223,0.303,1.752,1.119,0.462,0.054,2.185,0.865,1.524,53.344,2.189,1.906,4.426,2.581,42.153,0.194,0.154,0.04,0.22,0.216,2.926,6.16,42.784,0.343,2.162,1.342,0.82,0.464,0.758,0.162,0.596,0.336,0.258,0.023
Mau2,M02086346,Mau2(b):Het,Het,Male,2015-07-08,MUEG,29.613,42.996,95.708,59.189,88.036,24.352,75.666,0.943,11.99,31.886,67.683,5.452,40.296,5.268,20.302,71.341,0.817,4.292,53.58,36.192,62.13,0.262,0.613,44.964,43.859,45.477,54.895,2.107,56.141,89.835,10.068,2.711,3.084,15.627,84.6,35.653,24.792,17.324,75.208,46.718,50.025,1.39,98.61,4.379,1.949,9.404,3.202,81.046,0.179,94.961,5.039,0.777,0.119,7.696,11.539,79.792,6.122,6.171,29.245,20.039,9.206,14.788,15.574,22.731,77.269,59.161,40.326,5.549,16.158,28.342,16.775,14.768,3.596,11.174,0.139,2.011,0.641,1.361,0.11,11.42,0.602,2.319,8.148,0.093,1.271,0.681,0.46,0.79,0.003,0.34,0.269,0.122,0.148,0.006,0.344,0.309,0.035,0.009,0.482,2.609,1.1,0.988,0.171,2.999,1.401,0.695,49.33,2.16,0.962,4.639,1.579,39.98,0.088,0.084,0.004,0.383,0.059,3.772,5.655,39.105,0.378,1.79,1.227,0.564,0.905,0.953,0.217,0.737,0.436,0.297,0.016
Plscr2,M02086379,Plscr2(b):Hom,Hom,Female,2015-07-08,MUEH,28.514,39.799,94.867,58.999,88.552,31.447,68.359,1.163,11.485,48.3,51.482,11.329,40.54,7.596,26.466,62.619,0.611,5.133,53.314,38.943,59.303,1.184,0.843,45.291,44.066,38.33,61.58,2.424,55.934,89.958,9.83,3.182,2.323,25.126,75.233,44.798,27.96,14.496,72.04,42.534,53.496,2.296,97.704,5.418,2.7,6.557,4.626,80.687,0.165,89.328,10.672,0.673,0.205,8.809,9.361,80.02,7.156,7.868,25.616,15.577,10.039,24.354,10.56,22.938,77.062,58.901,40.813,10.238,14.453,27.05,15.959,14.132,4.444,9.661,0.164,1.833,0.885,0.944,0.208,10.966,0.833,2.902,6.867,0.067,1.464,0.78,0.57,0.868,0.017,0.406,0.371,0.142,0.229,0.009,0.471,0.424,0.046,0.015,0.584,1.748,1.041,0.847,0.123,2.183,0.928,1.228,52.267,2.832,1.411,3.427,2.418,42.173,0.086,0.077,0.009,0.352,0.107,4.296,4.566,39.028,0.563,1.833,1.115,0.718,1.743,0.756,0.173,0.582,0.343,0.238,0.024
Dclk1,M02087462,Dclk1:Het,Het,Male,2015-07-08,MGKF,29.6,44.671,95.657,55.686,88.874,27.093,72.817,1.318,11.189,44.531,55.734,9.541,43.839,7.967,31.724,57.352,1.901,4.343,50.92,36.479,62.069,1.063,0.725,59.79,60.534,28.495,71.733,2.888,39.466,89.161,10.606,3.263,2.856,19.388,80.798,33.781,24.871,17.22,75.129,36.126,49.11,1.873,98.127,6.555,2.68,8.953,5.051,76.844,0.148,88.995,11.005,0.567,0.169,9.398,10.64,78.489,8.306,6.947,31.262,20.822,10.44,17.925,11.426,27.94,72.06,65.104,34.606,10.87,16.538,28.314,15.767,14.013,3.796,10.204,0.185,1.764,0.786,0.983,0.168,12.413,0.989,3.938,7.119,0.236,1.286,0.655,0.469,0.798,0.014,0.495,0.439,0.125,0.315,0.013,0.286,0.255,0.03,0.009,0.554,2.307,0.965,0.932,0.161,2.816,1.017,0.92,48.19,3.159,1.292,4.315,2.434,37.031,0.071,0.064,0.008,0.273,0.081,4.434,5.02,37.032,0.577,2.597,1.729,0.867,1.489,0.949,0.265,0.684,0.445,0.237,0.026
Dclk1,M02087464,Dclk1:Het,Het,Female,2015-07-08,MGKF,31.405,NA,95.44,58.616,89.569,25.418,74.51,1.127,10.501,36.585,63.595,9.232,40.861,4.915,22.793,70.054,0.493,4.56,55.005,34.683,64.176,1.373,0.907,NA,46.674,38.898,61.496,2.362,53.326,88.973,10.958,2.963,2.692,22.818,77.331,44.261,NA,NA,NA,NA,50.228,2.513,97.487,4.226,2.517,9.827,4.749,78.704,0.101,91.803,8.197,0.701,0.161,0,50,50,7.491,6.196,26.321,16.093,10.228,23.554,13.147,37.21,62.79,52.686,46.592,17.212,0,29.973,17.569,15.736,4,11.725,0.177,1.845,0.675,1.173,0.17,12.247,0.602,2.792,8.58,0.06,1.432,0.788,0.497,0.919,0.02,0,0.423,0.165,0.26,0.01,0.484,0.43,0.053,0.014,0.614,2.082,1.192,0,0,0,0,1.262,48.966,2.069,1.233,4.812,2.326,38.538,0.049,0.045,0.004,0.343,0.079,0,50,50,0.464,1.972,1.206,0.766,1.764,0.985,0.366,0.618,0.326,0.288,0.05
Dclk1,M02087465,Dclk1:Het,Het,Female,2015-07-08,MGKF,33.981,40.514,95.353,51.421,90.463,16.989,83.097,1.274,9.607,37.443,62.599,9.683,48.13,2.028,22.487,75.367,0.494,4.647,54.676,24.34,74.794,0.507,1.121,44.521,46.149,40.528,59.343,1.031,53.851,83.876,16.234,5.964,3.208,18.664,81.523,35.571,28.633,12.97,71.367,42.851,41.486,2.086,97.914,6.211,2.412,6.465,3.34,81.515,0.047,87.805,12.195,0.356,0.136,10.429,6.872,81.349,9.03,5.32,26.328,17.703,8.625,28.102,9.141,25.897,74.103,57.209,42.215,10.929,19.392,32.402,16.661,15.072,2.561,12.525,0.192,1.601,0.599,1.002,0.155,15.595,0.316,3.507,11.754,0.077,1.579,0.863,0.384,1.181,0.008,0.552,0.517,0.21,0.307,0.005,0.604,0.506,0.098,0.036,0.599,2.615,1.141,1.192,0.155,2.972,1.274,0.865,40.62,2.523,0.98,2.626,1.357,33.112,0.019,0.017,0.002,0.145,0.055,3.911,2.577,30.504,0.48,2.378,1.599,0.779,2.538,0.825,0.214,0.612,0.35,0.258,0.028
Gnb3,M02088183,Gnb3(b):Hom,Hom,Female,2015-07-08,PMAM,30.734,38.101,95.215,56.706,90.641,20.162,79.853,1.396,9.433,36.095,63.778,10.882,42.917,3.549,22.045,73.729,0.775,4.785,50.771,30.19,68.994,0.68,1.056,47.382,51.089,44.842,55.034,1.174,48.911,83.677,16.387,5.29,2.708,18.749,81.522,42.94,22.71,14.891,77.29,43.341,45.973,2.718,97.282,6.668,3.782,4.464,2.485,82.566,0.058,97.368,2.632,0.285,0.149,9.083,5.688,84.342,8.629,5.668,30.839,21.772,9.068,25.367,8.562,22.299,77.701,51.233,48.699,4.923,16.088,29.263,16.594,15.041,3.033,12.011,0.21,1.565,0.565,0.998,0.17,12.559,0.446,2.769,9.26,0.097,1.471,0.747,0.444,1.015,0.01,0.56,0.54,0.242,0.297,0.006,0.517,0.432,0.085,0.027,0.508,2.207,1.163,0.832,0.124,2.83,1.227,1.249,44.724,2.982,1.691,1.996,1.112,36.927,0.026,0.025,0.001,0.128,0.067,3.819,2.392,35.466,0.489,2.661,1.879,0.782,2.189,0.739,0.165,0.574,0.294,0.28,0.014
Fnip2,M02088849,Fnip2:Hom,Hom,Male,2015-07-08,MGSD,25.28,47.138,95.604,54.38,88.884,39.531,60.423,1.255,11.161,54.419,45.262,9.475,45.134,10.881,37.232,47.456,1.146,4.396,50.75,38.362,59.748,0.24,0.898,61.967,62.672,28.597,71.462,1.658,37.328,91.054,8.946,2.087,2.877,19.615,80.57,33.194,22.655,16.238,77.345,35.907,56.625,1.929,98.071,4.468,2.027,8.826,5.491,78.927,0.564,95.643,4.357,0.839,0.244,7.153,13.844,77.411,7.712,6.483,47.372,32.214,15.158,5.926,10.754,21.423,78.577,60.563,39.284,13.542,14.945,24.169,13.143,11.682,4.618,7.059,0.147,1.467,0.798,0.664,0.139,10.909,1.187,4.062,5.177,0.125,1.111,0.564,0.426,0.664,0.003,0.655,0.563,0.161,0.402,0.009,0.335,0.305,0.03,0.007,0.564,2.318,0.955,0.838,0.136,2.86,1.027,1.092,55.532,2.481,1.126,4.902,3.05,43.83,0.313,0.299,0.014,0.466,0.136,3.698,7.158,40.022,0.5,3.653,2.484,1.169,0.457,0.829,0.178,0.652,0.395,0.256,0.035
Fnip2,M02088850,Fnip2:Hom,Hom,Male,2015-07-08,MGSD,24.623,49.641,94.895,52.671,90.437,21.425,78.593,1.387,9.639,40.096,59.989,7.839,46.928,4.101,38.956,56.153,1.107,5.105,47.68,28.56,70.141,0.265,0.826,61.502,60.275,22.505,77.629,2.009,39.725,86.992,12.805,4.167,3.753,15.32,84.92,33.561,21.353,15.349,78.647,38.093,47.166,1.942,98.058,5.788,2.549,9.896,5.325,76.536,0.121,95.092,4.908,0.266,0.125,9.394,11.318,77.973,13.036,5.076,55.384,39.755,15.628,7.601,6.306,23.564,76.436,57.619,41.956,7.601,16.68,23.366,12.307,11.13,2.385,8.748,0.154,1.186,0.476,0.712,0.093,10.965,0.45,4.272,6.157,0.121,1.257,0.599,0.359,0.882,0.003,0.641,0.498,0.112,0.386,0.01,0.328,0.285,0.042,0.014,0.575,3.187,1.26,1.069,0.164,3.938,1.5,0.916,46.25,2.677,1.179,4.577,2.463,35.398,0.056,0.053,0.003,0.123,0.058,4.248,5.118,35.262,0.662,7.22,5.182,2.037,0.991,0.822,0.194,0.628,0.362,0.264,0.02
Sepw1,M02089225,Sepw1(b):Hom,Hom,Female,2015-07-08,MUHP,33.553,40.194,95.118,56.726,91.345,17.258,82.763,0.996,8.745,33.621,66.505,9.221,42.812,2.937,24.09,72.441,0.556,4.882,55.617,28.002,71.429,0.509,1.055,47.872,50.853,35.923,64.077,1.119,49.147,85.916,14.277,3.473,3.747,15.398,84.754,43.302,20.144,16.157,79.856,42.041,39.949,3.15,96.85,6.073,2.577,10.703,5.708,75.082,0.054,92.857,7.143,0.272,0.122,9.799,9.476,79.502,7.146,10.549,27.82,18.337,9.483,15.131,10.469,25.456,74.544,48.42,51.07,3.593,18.35,31.915,18.104,16.537,2.854,13.687,0.165,1.583,0.532,1.053,0.146,13.664,0.401,3.292,9.898,0.076,1.638,0.911,0.459,1.17,0.008,0.579,0.536,0.193,0.344,0.006,0.518,0.445,0.074,0.018,0.577,3.176,1.623,0.975,0.158,3.865,1.625,1.259,38.69,2.35,0.997,4.141,2.209,29.049,0.021,0.019,0.001,0.105,0.047,3.853,3.726,31.259,0.754,1.988,1.31,0.678,1.081,0.748,0.19,0.558,0.27,0.285,0.01
Zbed5,M02089566,Zbed5(b):Hom,Hom,Female,2015-07-08,MUGX,34.194,40.43,95.638,60.389,90.28,28.559,71.36,1.49,9.754,45.96,54.04,8.877,39.136,7.967,21.797,65.551,0.63,4.362,56.067,35.978,61.899,0.246,1.073,40.367,37.795,43.057,56.861,1.972,62.205,92.811,7.139,1.498,1.982,26.131,74.071,41.063,26.86,13.847,73.14,42.775,44.742,2.738,97.262,3.155,2.967,9.693,8.398,75.979,0.158,97.5,2.5,0.68,0.142,5.199,11.134,81.148,6.253,7.607,20.394,11.716,8.678,29.552,11.103,26.02,73.98,56.392,43.608,10.714,17.839,32.703,19.749,17.829,5.092,12.723,0.266,1.926,0.885,1.041,0.171,12.798,1.02,2.79,8.39,0.081,1.492,0.836,0.537,0.923,0.004,0.473,0.406,0.175,0.231,0.008,0.668,0.62,0.048,0.01,0.518,1.468,0.814,0.729,0.101,1.986,0.849,1.225,43.517,1.373,1.291,4.218,3.655,33.064,0.069,0.067,0.002,0.296,0.062,2.242,4.802,35.002,0.476,1.275,0.733,0.543,1.848,0.694,0.181,0.514,0.29,0.224,0.024
Trim65,M02089698,Trim65(b):Hom,Hom,Female,2015-07-08,MUGH,27.706,40.303,94.842,57.038,88.764,27.631,72.201,2.07,11.305,36.966,62.817,8.892,42.322,5.599,22.18,70.806,1.655,5.158,47.399,35.106,63.238,0.373,1.274,48.655,27.368,44.742,54.78,2.103,72.632,69.128,30.764,8.61,1.759,28.672,71.67,43.908,31.006,13.279,68.994,40.295,51.7,2.655,97.345,6.368,3.759,8.196,4.629,76.974,0.199,94.845,5.155,0.739,0.129,7.982,9.658,80.921,5.442,7.413,28.592,18.349,10.244,19.034,13.649,34.483,65.517,54.721,45.046,10.309,13.579,26.277,14.988,13.304,3.676,9.606,0.275,1.694,0.626,1.064,0.151,11.121,0.623,2.467,7.874,0.184,1.429,0.677,0.502,0.904,0.005,0.464,0.349,0.156,0.191,0.007,0.925,0.64,0.285,0.08,0.504,1.261,0.772,0.693,0.092,1.543,0.622,1.373,50.327,3.205,1.892,4.125,2.33,38.738,0.1,0.095,0.005,0.372,0.065,4.302,5.205,43.612,0.403,1.556,0.999,0.557,1.036,0.743,0.256,0.487,0.266,0.219,0.023
Trim65,M02089699,Trim65(b):Hom,Hom,Female,2015-07-08,MUGH,24.475,34.718,93.794,56.968,88.833,26.065,73.829,2.054,11.261,42.033,58.035,12.608,42.53,6.49,24.725,66.405,1.318,6.206,46.741,40.158,58.196,0.307,1.11,46.508,33.243,36.766,63.234,2.71,66.757,58.614,41.161,12.821,2.64,26.932,73.283,44.015,29.839,16.959,70.161,43.18,54.166,2.232,97.768,7.025,3.222,8.96,4.25,76.617,0.043,97.015,2.985,0.33,0.109,9.65,9.929,79.271,7.02,3.903,20.699,11.145,9.554,29.873,11.762,39.725,60.275,60.683,38.982,13.23,11.269,22.956,13.077,11.617,3.028,8.577,0.239,1.473,0.619,0.855,0.186,9.763,0.634,2.414,6.483,0.129,1.519,0.71,0.61,0.884,0.005,0.421,0.369,0.136,0.233,0.01,0.741,0.434,0.305,0.095,0.711,1.935,1.162,1.018,0.173,2.394,1.034,1.209,52.957,3.72,1.706,4.745,2.251,40.574,0.023,0.022,0.001,0.175,0.058,5.259,5.411,43.204,0.274,1.453,0.782,0.671,2.097,0.826,0.328,0.498,0.302,0.194,0.026
Galntl5,M02092068,Galntl5(b):Hom,Hom,Female,2015-07-08,MUGG,29.876,40.513,95.04,55.427,88.354,32.056,67.61,1.338,11.693,49.701,50.063,9.382,44.102,8.129,22.87,63.763,0.594,4.96,50.472,46.559,51.147,0.63,1.172,38.495,33.836,44.034,55.882,1.513,66.164,83.197,16.459,7.434,1.815,32.47,67.713,37.686,36.211,10.706,63.789,46.523,51.315,2.423,97.577,5.287,3.015,11.537,6.444,73.782,0.193,93.091,6.909,0.493,0.144,8.527,13.79,76.028,5.694,6.525,32.305,16.754,15.551,16.741,12.786,36.256,63.744,63.06,36.94,7.531,15.238,28.394,15.738,13.905,4.458,9.401,0.186,1.84,0.915,0.921,0.173,12.523,1.018,2.864,7.985,0.074,1.482,0.748,0.69,0.758,0.009,0.387,0.397,0.175,0.222,0.006,0.776,0.645,0.128,0.058,0.589,1.229,0.684,0.868,0.093,1.529,0.711,1.244,50.071,2.647,1.509,5.777,3.227,36.944,0.097,0.09,0.007,0.247,0.072,4.277,6.917,38.135,0.372,1.839,0.954,0.885,0.953,0.728,0.264,0.464,0.293,0.171,0.013
Ccdc69,M02093165,Ccdc69(b):Hom,Hom,Male,2015-07-08,MUGL,28.045,46.743,95.91,56.851,87.847,26.452,73.519,0.95,12.225,38.641,61.18,5.938,42.67,5.75,27.843,64.144,0.325,4.09,50.857,39.407,59.489,0.349,0.807,42.623,40.768,39.412,60.689,1.52,59.232,81.032,18.968,5.579,2.535,20.568,79.642,32.233,32.248,15.139,67.752,45.396,47.905,1.994,98.006,6.312,3.049,10.612,6.978,73.257,0.088,86.667,13.333,0.59,0.149,9.497,10.523,78.274,7.931,4.278,38.382,26.296,12.086,14.77,11.38,29.251,70.749,58.579,41.043,13.444,17.085,26.898,15.292,13.433,3.553,9.876,0.128,1.869,0.722,1.144,0.111,11.477,0.66,3.196,7.362,0.037,1.147,0.583,0.452,0.682,0.004,0.347,0.329,0.13,0.2,0.005,0.478,0.387,0.091,0.027,0.521,2.019,0.817,1.135,0.172,2.384,1.082,0.955,46.95,2.963,1.431,4.982,3.276,34.394,0.041,0.036,0.006,0.277,0.07,4.714,5.223,38.852,0.339,3.044,2.086,0.959,1.171,0.903,0.264,0.639,0.374,0.262,0.035
4933434E20Rik,M02089052,WT,WT,Female,2015-07-13,MERZ,27.395,40.48,94.211,55.601,91.347,22.479,77.559,1.282,8.715,37.767,62.42,9.915,43.763,3.264,26.93,69.502,0.974,5.789,42.854,31.61,66.856,0.252,0.656,53.131,36.738,35.961,64.039,2.628,63.262,64.9,35.181,13.173,2.961,15.185,85.007,38.361,24.887,17.181,75.113,47.065,57.424,1.603,98.397,5.693,3.544,10.888,3.594,76.247,0.191,98.457,1.543,0.37,0.153,8.025,13.819,76.742,7.164,10.851,33.177,17.714,15.462,12.052,10.995,30.766,69.234,57.457,42.115,9.869,13.422,25.809,14.35,13.108,2.947,10.167,0.168,1.251,0.472,0.781,0.124,11.295,0.369,3.042,7.85,0.11,1.586,0.68,0.501,1.06,0.004,0.503,0.241,0.087,0.154,0.006,0.415,0.269,0.146,0.055,0.45,2.517,1.136,0.918,0.158,2.772,1.305,0.92,56.503,3.217,2.003,6.152,2.031,43.082,0.108,0.106,0.002,0.209,0.086,4.21,7.25,40.263,0.777,2.377,1.269,1.108,0.863,0.788,0.242,0.545,0.313,0.23,0.023
