Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M01829426,Plxnb3:Hemi,MGFF,Male,Plxnb3,C,2014-08-04,11.4,NA,28.8,-0.07638888888888887,-0.02083333333333338,-0.024305555555555653,7,1,1.5,10,FALSE
M01829427,Plxnb3:Hemi,MGFF,Male,Plxnb3,C,2014-08-04,11.4,NA,26.5,-0.07547169811320754,-0.030188679245283047,0.04150943396226427,8.45,1.45,2,10,FALSE
M01829432,Plxnb3:Hom,MGFF,Female,Plxnb3,C,2014-08-04,11.4,NA,27.6,-0.02173913043478266,-0.007246376811594305,0.10869565217391253,5.2,0.2,1,10,FALSE
M01829434,Plxnb3:Hom,MGFF,Female,Plxnb3,C,2014-08-04,11.4,NA,24.3,-0.07818930041152272,-0.06172839506172839,-0.17489711934156407,2.95,0.45,0.5,10,FALSE
M01830580,WT,CBLT,Female,,C,2014-07-07,7.1,NA,18.6,-0.037634408602150685,0.010752688172042972,-0.08333333333333355,6.6,0.6,1.5,10,FALSE
M01830581,WT,CBLT,Female,,C,2014-07-07,7.1,NA,18.7,0.010695187165775364,0.08556149732620329,0.37165775401069556,5.949999999999999,0.9500000000000001,1,10,FALSE
M01830859,Hmgxb3:Het,MFEZ,Female,Hmgxb3,C,2014-08-11,10.1,NA,21.1,-0.1469194312796209,-0.07109004739336493,-0.22037914691943153,7.4,1.4,1.5,10,FALSE
M01830862,Hmgxb3:Het,MFEZ,Female,Hmgxb3,C,2014-08-11,10.1,NA,21.1,-0.11374407582938398,-0.07109004739336493,-0.19668246445497672,4.2,0.2,0.5,10,FALSE
M01831325,WT,CBSC,Male,,C,2014-08-04,10.1,NA,32,-0.018750000000000044,0.006250000000000089,0.12187500000000018,NA,NA,NA,10,FALSE
M01831327,WT,CBSC,Male,,C,2014-08-04,10.1,NA,31.5,0.009523809523809547,0.047619047619047616,0.2301587301587304,5.05,0.55,0.5,10,FALSE
M01831330,WT,CBSC,Female,,C,2014-08-04,10.1,NA,22.1,-0.07692307692307705,-0.04072398190045258,0.11538461538461502,6.2,0.7,1,10,FALSE
M01831331,WT,CBSC,Female,,C,2014-08-04,10.1,NA,17.8,-0.07303370786516858,0.0168539325842697,0.23876404494382011,6.65,1.15,1.5,10,FALSE
M01832815,Dlg3:Hemi,MCZY,Male,Dlg3,C,2014-08-04,10.4,NA,28.5,-0.18245614035087718,-0.18245614035087718,-0.1087719298245614,10.85,2.35,2.5,7,TRUE
M01832818,Dlg3:Hom,MCZY,Female,Dlg3,C,2014-08-04,10.4,NA,20.8,-0.12500000000000006,-0.03846153846153849,0.04326923076923045,7.5,1,2,10,FALSE
M01832864,Dlg3:Hemi,MCZY,Male,Dlg3,C,2014-08-04,10.4,NA,27,-0.19999999999999996,-0.07037037037037032,0.009259259259259384,8.85,1.85,2,9,TRUE
M01832869,Dlg3:Hom,MCZY,Female,Dlg3,C,2014-08-04,10.4,NA,23.5,-0.03404255319148939,-0.00851063829787231,0.2212765957446809,7.75,1.25,2,10,FALSE
M01833444,Fbxo33(b):Hom,MUBU,Male,Fbxo33,C,2014-08-11,10.4,NA,26.7,-0.02247191011235947,0.007490636704119823,0.0037453183520601797,5.9,0.9,0.5,10,FALSE
M01833446,Fbxo33(b):Hom,MUBU,Male,Fbxo33,C,2014-08-11,10.4,NA,22,0.00454545454545461,0.040909090909090846,0.24772727272727255,3.85,0.35,0,10,FALSE
M01834059,Enc1:Hom,MFZR,Male,Enc1,C,2014-08-11,10.7,NA,22.9,-0.10043668122270731,-0.008733624454148442,0.17903930131004414,9.5,2,2.5,10,FALSE
M01834063,Enc1:Hom,MFZR,Male,Enc1,C,2014-08-11,10.7,NA,26.7,-0.149812734082397,-0.07865168539325836,-0.12546816479400735,8.75,1.75,2,10,FALSE
M01834067,Enc1:Hom,MFZR,Female,Enc1,C,2014-08-11,10.7,NA,19.3,-0.036269430051813434,0.010362694300518097,0.036269430051813156,8.4,1.4,2,10,FALSE
M01834068,Enc1:Hom,MFZR,Female,Enc1,C,2014-08-11,10.7,NA,20,0.025,0.09000000000000004,0.3599999999999999,9.25,1.25,2.5,10,FALSE
M01834398,5730559C18Rik:Hom,MGHU,Female,5730559C18Rik,C,2014-08-11,10.9,NA,23,-0.060869565217391244,-0.017391304347826025,0.03913043478260879,9.15,2.15,2,10,FALSE
M01835923,Cmtm5:Hom,MGBY,Female,Cmtm5,C,2014-08-11,10.9,NA,25.3,-0.0869565217391304,-0.04743083003952566,-0.04743083003952573,5.7,0.7000000000000001,1,10,FALSE
M01835924,Cmtm5:Hom,MGBY,Female,Cmtm5,C,2014-08-11,10.9,NA,21.7,-0.018433179723502238,0.02304147465437788,0.10829493087557643,5.2,0.7,1,10,FALSE
M01835925,Cmtm5:Hom,MGBY,Male,Cmtm5,C,2014-08-11,10.9,NA,28.9,-0.048442906574394415,-0.024221453287197207,0.0432525951557099,4.4,0.4,1,10,FALSE
M01835928,Cmtm5:Hom,MGBY,Male,Cmtm5,C,2014-08-11,10.9,NA,34,-0.029411764705882353,0.005882352941176554,0.03823529411764719,6.5,1,1,10,FALSE
M01836169,Nek9:Het,MEXV,Female,Nek9,C,2014-08-11,9.1,NA,23.4,-0.06410256410256411,-0.03418803418803407,-0.10683760683760624,6.75,0.75,1.5,10,FALSE
M01836172,Nek9:Het,MEXV,Female,Nek9,C,2014-08-11,9.1,NA,22.7,-0.00881057268722464,0.039647577092511106,0.1828193832599121,1.1,0.1,0,10,FALSE
M01836832,WT,CBSC,Male,,C,2014-08-26,12.1,NA,33.5,-0.020895522388059785,0.00895522388059693,0.06119402985074618,3.9,0.4,0.5,10,FALSE
M01836833,WT,CBSC,Male,,C,2014-08-26,12.1,NA,31.2,-0.04166666666666669,0.0032051282051282506,-0.0368589743589742,5.35,0.35,1,10,FALSE
M01836836,WT,CBSC,Female,,C,2014-08-26,12.1,NA,27.2,-0.007352941176470562,0.014705882352941256,0.15441176470588241,2.55,0.05,0,10,FALSE
M01836839,WT,CBSC,Female,,C,2014-08-26,12.1,NA,30.5,-0.026229508196721336,-0.0065573770491803044,0.01639344262295088,4.15,0.15,0.5,10,FALSE
M01837122,1700112E06Rik:Hom,MGGQ,Female,1700112E06Rik,C,2014-08-18,10,NA,21.1,-0.0947867298578199,-0.08530805687203795,-0.18246445497630398,4.25,0.25,1,10,FALSE
M01838377,Aldh1b1:Hom,MGER,Male,Aldh1b1,C,2014-08-11,9.7,NA,26.8,-0.08955223880597023,-0.018656716417910446,0.016791044776119375,8.65,1.65,2,10,FALSE
M01838379,Aldh1b1:Hom,MGER,Male,Aldh1b1,C,2014-08-11,9.7,NA,24.6,-0.036585365853658625,0.0284552845528455,0.18089430894308917,5.25,0.75,0.5,10,FALSE
M01838380,Aldh1b1:Hom,MGER,Female,Aldh1b1,C,2014-08-11,9.7,NA,21.1,-0.13744075829383895,-0.04739336492890995,0.00947867298578162,10,2,2.5,10,FALSE
M01838381,Aldh1b1:Hom,MGER,Female,Aldh1b1,C,2014-08-11,9.7,NA,24.9,-0.11646586345381521,-0.05622489959839352,-0.14859437751004,10.100000000000001,1.5999999999999999,3,10,FALSE
M01838795,5730559C18Rik:Hom,MGHU,Male,5730559C18Rik,C,2014-08-11,10.1,NA,25.6,-0.1171875,-0.015625000000000083,0.11718749999999979,7.25,1.25,1.5,10,FALSE
M01838812,5730559C18Rik:Hom,MGHU,Male,5730559C18Rik,C,2014-08-11,10.4,NA,27.4,-0.1642335766423358,-0.047445255474452455,0.034671532846715564,9.85,1.85,2.5,10,FALSE
M01838813,5730559C18Rik:Hom,MGHU,Female,5730559C18Rik,C,2014-08-11,10.4,NA,23.4,-0.029914529914529885,0.004273504273504335,0.06196581196581224,8.95,1.4500000000000002,2.5,10,FALSE
M01841310,Fbxo33(b):Hom,MUBU,Female,Fbxo33,C,2014-08-11,9.9,NA,19.4,-0.030927835051546285,-0.005154639175257623,0.17268041237113438,9.149999999999999,1.6500000000000001,2.5,10,FALSE
M01841311,Fbxo33(b):Hom,MUBU,Female,Fbxo33,C,2014-08-11,9.9,NA,18.8,-0.09574468085106387,-0.05851063829787241,0.1303191489361698,9.1,1.6,2.5,10,FALSE
M01841386,Dynlrb2:Het,MFYF,Female,Dynlrb2,C,2014-08-11,9.3,NA,21.9,-0.10045662100456619,-0.04566210045662101,0.08219178082191816,9.25,1.75,2.5,10,FALSE
M01841387,Dynlrb2:Het,MFYF,Female,Dynlrb2,C,2014-08-11,9.3,NA,21.8,-0.11926605504587162,-0.07798165137614675,-0.04357798165137635,7.4,0.9,2,10,FALSE
M01843818,WT,CBSC,Female,,C,2014-09-08,13.6,NA,27.5,-0.07636363636363641,-0.032727272727272674,-0.06363636363636357,4.3,0.3,1,10,FALSE
M01843851,WT,CBSC,Female,,C,2014-09-08,13.6,NA,27.8,-0.028776978417266213,0,0.05755395683453236,4,0,0.5,10,FALSE
M01844244,Rnf10(b):Hom,MUCM,Male,Rnf10,C,2014-08-18,10,NA,20.6,-0.05825242718446615,-0.05825242718446615,-0.10922330097087456,4.3,0.3,0,10,FALSE
M01844249,Rnf10(b):Hom,MUCM,Female,Rnf10,C,2014-08-18,10,NA,18.4,-0.15217391304347822,-0.1467391304347826,-0.2934782608695647,5.5,0.5,1,10,FALSE
M01844281,Rnf10(b):Hom,MUCM,Male,Rnf10,C,2014-08-18,10,NA,27.3,-0.08424908424908427,-0.062271062271062244,-0.21245421245421273,2.9,0.4,0,10,FALSE
M01844283,Rnf10(b):Hom,MUCM,Female,Rnf10,C,2014-08-18,10,NA,21.9,-0.15525114155251135,-0.14155251141552502,-0.4155251141552507,11.15,2.15,3,10,FALSE
M01844529,Nek9:Het,MEXV,Male,Nek9,C,2014-08-11,7.9,NA,26.4,-0.20075757575757566,-0.14772727272727268,-0.12689393939393906,11.45,2.45,3,8,TRUE
M01844534,Nek9:Het,MEXV,Male,Nek9,C,2014-08-11,7.9,NA,25.5,-0.18823529411764708,-0.18823529411764708,0.0039215686274509665,10.85,2.35,3,7,TRUE
M01846032,Fzd6:Hom,MGHV,Male,Fzd6,C,2014-08-18,9.9,NA,25.7,-0.12062256809338513,-0.12062256809338513,-0.38910505836575837,7.8999999999999995,0.8999999999999999,1.5,10,FALSE
M01846033,Fzd6:Hom,MGHV,Male,Fzd6,C,2014-08-18,9.9,NA,30.3,-0.12871287128712877,-0.12211221122112209,-0.50990099009901,2.35,0.35,0,10,FALSE
M01846036,Fzd6:Hom,MGHV,Female,Fzd6,C,2014-08-18,9.9,NA,21.9,-0.11872146118721452,-0.1050228310502282,-0.22831050228310473,9.1,1.0999999999999999,2.5,10,FALSE
M01846037,Fzd6:Hom,MGHV,Female,Fzd6,C,2014-08-18,9.9,NA,20.1,-0.07462686567164178,-0.07462686567164178,-0.24129353233830894,4.9,0.4,1,10,FALSE
M01846410,WT,CBLT,Male,,C,2014-08-04,8.7,NA,28.9,-0.024221453287197207,0.003460207612456797,-0.05363321799307924,5.35,0.85,0.5,10,FALSE
M01846411,WT,CBLT,Male,,C,2014-08-04,8.7,NA,26.1,-0.0076628352490422545,0.019157088122605363,0.0785440613026816,4.25,0.25,0.5,10,FALSE
M01846864,Hmgxb3:Het,MFEZ,Male,Hmgxb3,C,2014-08-11,8.7,NA,26.6,-0.1165413533834587,-0.030075187969924838,-0.06015037593985001,NA,NA,NA,10,FALSE
M01846866,Hmgxb3:Het,MFEZ,Male,Hmgxb3,C,2014-08-11,8.7,NA,23.4,-0.06410256410256411,-0.029914529914529885,0.023504273504273917,6.45,0.95,1,10,FALSE
M01847623,Il1r2:Hom,MGES,Male,Il1r2,C,2014-08-26,9.7,NA,28.9,-0.048442906574394415,0.013840830449827065,0.06228373702422167,7.25,1.25,1.5,10,FALSE
M01847624,Il1r2:Hom,MGES,Male,Il1r2,C,2014-08-26,9.7,NA,26.5,-0.026415094339622615,0.041509433962264204,0.13773584905660385,6.7,0.7,1.5,10,FALSE
M01847627,Il1r2:Hom,MGES,Female,Il1r2,C,2014-08-26,9.7,NA,23.8,-0.054621848739495826,0,0.22689075630252065,5.4,0.4,1,10,FALSE
M01847628,Il1r2:Hom,MGES,Female,Il1r2,C,2014-08-26,9.7,NA,23.4,-0.08974358974358966,-0.02564102564102555,0.03846153846153878,8.8,1.8,2,10,FALSE
M01849140,WT,CBLT,Male,,C,2014-08-11,8.1,NA,24.5,-0.028571428571428543,0.024489795918367405,0.12653061224489803,5.85,0.85,1.5,10,FALSE
M01849141,WT,CBLT,Male,,C,2014-08-11,8.1,NA,26.7,-0.041198501872659096,0.03370786516853941,0.11048689138576784,8.95,1.45,2,10,FALSE
M01850049,WT,CBLT,Female,,C,2014-08-04,8,NA,19.8,0.040404040404040435,0.09090909090909094,0.39393939393939387,4.85,0.35,0.5,10,FALSE
M01850050,WT,CBLT,Female,,C,2014-08-04,8,NA,19.5,-0.005128205128205201,0.030769230769230844,0.3076923076923077,8.149999999999999,1.6500000000000001,1.5,10,FALSE
M01853713,1700112E06Rik:Hom,MGGQ,Male,1700112E06Rik,C,2014-08-18,9.1,NA,26.4,-0.05681818181818182,-0.04166666666666659,-0.24242424242424218,4.4,0.4,0.5,10,FALSE
M01853717,1700112E06Rik:Hom,MGGQ,Male,1700112E06Rik,C,2014-08-18,9.1,NA,26.1,-0.0881226053639847,-0.0842911877394637,-0.352490421455939,6,0.5,1,10,FALSE
M01853719,1700112E06Rik:Hom,MGGQ,Female,1700112E06Rik,C,2014-08-18,9.1,NA,22.9,-0.1048034934497816,-0.1048034934497816,-0.17030567685589465,8.75,1.75,2,10,FALSE
M01855104,WT,CBLT,Female,,C,2014-08-11,7.9,NA,19,-0.07368421052631571,-0.021052631578947295,-0.06842105263157898,7.65,1.15,2.5,10,FALSE
M01855161,WT,CBLT,Female,,C,2014-08-11,7.4,NA,19.9,-0.020100502512562745,0.015075376884422148,0.10301507537688491,4.15,0.15,0,10,FALSE
M01855320,WT,CBSC,Male,,C,2014-09-08,13.7,NA,33.4,-0.023952095808383148,0.002994011976047947,0.07035928143712611,2.15,0.15,0,10,FALSE
M01855321,WT,CBSC,Male,,C,2014-09-08,13.7,NA,34,-0.08235294117647061,-0.050000000000000086,-0.13970588235294118,5.800000000000001,0.8,1,10,FALSE
M01855585,Chst11:Het,MFZV,Female,Chst11,C,2014-08-26,8.7,NA,20.8,-0.12500000000000006,-0.03846153846153849,0.004807692307692121,8.1,1.1,2,10,FALSE
M01855612,Chst11:Het,MFZV,Male,Chst11,C,2014-08-26,9.6,NA,26.6,-0.1804511278195489,-0.10526315789473686,0.06766917293233038,10.15,2.15,2.5,10,FALSE
M01855613,Chst11:Het,MFZV,Male,Chst11,C,2014-08-26,9.6,NA,27.2,-0.22426470588235287,-0.13602941176470587,-0.18566176470588208,11.3,2.3,3,8,TRUE
M01855617,Chst11:Het,MFZV,Female,Chst11,C,2014-08-26,9.6,NA,20.6,-0.07766990291262142,-0.029126213592233077,0.0388349514563102,7.3,1.3,2,10,FALSE
M01857385,Tctex1d2:Hom,MFYD,Male,Tctex1d2,C,2014-08-26,9.6,NA,27.3,-0.07326007326007326,-0.05128205128205136,-0.12087912087912123,2.5,0,0.5,10,FALSE
M01857388,Tctex1d2:Hom,MFYD,Female,Tctex1d2,C,2014-08-26,9.6,NA,22.2,-0.07207207207207197,-0.018018018018017955,-0.12162162162162127,2,0,0,10,FALSE
M01857389,Tctex1d2:Hom,MFYD,Female,Tctex1d2,C,2014-08-26,9.6,NA,21.9,-0.06849315068493152,-0.031963470319634674,-0.09817351598173486,3.9,0.4,1.5,10,FALSE
M01859684,Fbf1:Hom,MFGV,Male,Fbf1,C,2014-08-26,9.9,NA,29.8,-0.21476510067114102,-0.13087248322147657,-0.20637583892617462,11.45,2.45,3,8,TRUE
M01859686,Fbf1:Hom,MFGV,Male,Fbf1,C,2014-08-26,9.9,NA,26.9,-0.2230483271375465,-0.141263940520446,-0.03345724907063166,11.35,2.35,3,8,TRUE
M01859691,Fbf1:Hom,MFGV,Female,Fbf1,C,2014-08-26,9.9,NA,24.6,-0.06097560975609756,0.01626016260162596,0.2560975609756092,11.7,2.7,3,10,FALSE
M01860761,Dph6:Hom,MFZU,Male,Dph6,C,2014-08-26,10,NA,23.9,-0.21757322175732216,-0.10878661087866101,-0.05020920502091995,9.5,1.5,2,8,TRUE
M01860764,Dph6:Hom,MFZU,Male,Dph6,C,2014-08-26,10,NA,27.6,-0.03985507246376817,0.025362318840579684,0.13586956521739096,5.05,0.55,1,10,FALSE
M01860765,Dph6:Hom,MFZU,Female,Dph6,C,2014-08-26,10,NA,20.5,-0.22926829268292678,-0.1658536585365853,-0.12682926829268282,9.9,1.9,2,8,TRUE
M01860766,Dph6:Hom,MFZU,Female,Dph6,C,2014-08-26,10,NA,17.9,-0.12290502793296086,-0.016759776536312693,0.002793296089386112,8.75,1.25,2.5,10,FALSE
M01862498,Mkrn2(b):Hom,MUBL,Male,Mkrn2,C,2014-08-26,8.7,NA,22.3,-0.08520179372197319,-0.02690582959641262,-0.008968609865471135,6.9,0.9,2,10,FALSE
M01862499,Mkrn2(b):Hom,MUBL,Male,Mkrn2,C,2014-08-26,8.7,NA,22.3,-0.049327354260089745,-0.01345291479820631,0.11434977578475317,4.95,0.45,0.5,10,FALSE
M01862505,Mkrn2(b):Hom,MUBL,Female,Mkrn2,C,2014-08-26,8.7,NA,18.9,-0.11640211640211637,-0.026455026455026457,0.044973544973545235,8.45,1.45,2,10,FALSE
M01862506,Mkrn2(b):Hom,MUBL,Female,Mkrn2,C,2014-08-26,8.7,NA,18.8,-0.09574468085106387,-0.042553191489361736,-0.05851063829787251,3.5,0,0,10,FALSE
M01862572,Psph:Het,MGJF,Male,Psph,C,2014-09-01,8.9,NA,26.9,-0.0929368029739777,-0.03717472118959108,0.037174721189591475,7.2,0.7,2,10,FALSE
M01862574,Psph:Het,MGJF,Male,Psph,C,2014-09-01,8.9,NA,30.6,-0.12745098039215694,-0.08169934640522876,-0.21732026143790878,9.1,1.6,2,10,FALSE
M01862576,Psph:Het,MGJF,Female,Psph,C,2014-09-01,8.9,NA,22.7,-0.19383259911894268,-0.10572687224669598,-0.17180616740088084,6.050000000000001,0.55,1.5,10,FALSE
M01862578,Psph:Het,MGJF,Female,Psph,C,2014-09-01,8.9,NA,22.3,-0.08520179372197319,-0.06726457399103139,-0.08295964125560544,10,2,2.5,10,FALSE
M01862950,WT,CBSC,Male,,C,2014-08-11,6.7,NA,26.1,-0.0536398467432951,0,0.13026819923371613,6.15,1.15,1,10,FALSE
M01862951,WT,CBSC,Male,,C,2014-08-11,6.7,NA,26.5,-0.030188679245283047,0.007547169811320728,0.09056603773584894,5.35,0.35,0.5,10,FALSE
M01862952,WT,CBSC,Female,,C,2014-08-11,6.7,NA,19.9,-0.01507537688442197,0.015075376884422148,0.13819095477387,3.5,0.5,1,10,FALSE
M01862953,WT,CBSC,Female,,C,2014-08-11,6.7,NA,21.2,-0.03773584905660381,0.014150943396226448,0.08254716981132101,4.65,0.65,0.5,10,FALSE
M01863432,WT,CBLT,Male,,C,2014-08-18,7.1,NA,24.3,-0.0534979423868313,-0.016460905349794327,0.0802469135802468,9.55,1.55,2.5,10,FALSE
M01863433,WT,CBLT,Male,,C,2014-08-18,7.1,NA,22.9,-0.06986899563318769,-0.03930131004366806,0.06550218340611408,8.35,1.85,1.5,10,FALSE
M01863802,WT,CBLT,Female,,C,2014-08-18,7,NA,18.7,0.021390374331550915,0.053475935828877004,0.36096256684492023,6,1,1,10,FALSE
M01863803,WT,CBLT,Female,,C,2014-08-18,7,NA,19.9,0.02512562814070352,0.07035175879396996,0.36683417085427183,3.65,0.15,0,10,FALSE
M01864115,Atg16l2:Hom,MEVT,Male,Atg16l2,C,2014-09-08,9,NA,26.6,-0.22180451127819556,-0.1353383458646617,-0.09774436090225602,10.55,2.55,2.5,8,TRUE
M01864117,Atg16l2:Hom,MEVT,Male,Atg16l2,C,2014-09-08,9,NA,26.2,-0.26335877862595414,-0.18320610687022904,-0.14122137404580143,NA,NA,NA,8,TRUE
M01864119,Atg16l2:Hom,MEVT,Female,Atg16l2,C,2014-09-08,9,NA,22,-0.15454545454545449,-0.09545454545454551,-0.36590909090909096,7.05,0.55,2,10,FALSE
M01864122,Atg16l2:Hom,MEVT,Female,Atg16l2,C,2014-09-08,9,NA,20.9,-0.09569377990430622,-0.038277511961722355,0.03349282296650765,7.95,1.45,2,10,FALSE
M01864841,Adamts19:Hom,MGTS,Male,Adamts19,C,2014-08-26,8.6,NA,27.9,-0.05734767025089598,-0.025089605734767,0.04838709677419392,5.85,0.8500000000000001,1,10,FALSE
M01864842,Adamts19:Hom,MGTS,Female,Adamts19,C,2014-08-26,8.6,NA,22,-0.1636363636363637,-0.045454545454545456,-0.01818181818181796,8.9,1.4,2.5,10,FALSE
M01864845,Adamts19:Hom,MGTS,Female,Adamts19,C,2014-08-26,8.6,NA,24,-0.1875,-0.10833333333333339,-0.3,8.9,1.4,2.5,10,FALSE
M01864905,Adamts19:Hom,MGTS,Male,Adamts19,C,2014-08-26,7.7,NA,26.8,-0.041044776119403034,-0.011194029850746294,0.1287313432835817,3.15,0.15,0.5,10,FALSE
M01866235,Ell2(b):Hom,MUAK,Male,Ell2,C,2014-09-01,8.6,NA,28.8,-0.1388888888888889,-0.05902777777777775,-0.06423611111111122,5.65,0.65,1.5,10,FALSE
M01866236,Ell2(b):Hom,MUAK,Male,Ell2,C,2014-09-01,8.6,NA,24.8,-0.08467741935483876,-0.04435483870967748,0.03427419354838701,6.15,1.15,1,10,FALSE
M01866360,Ell2(b):Hom,MUAK,Female,Ell2,C,2014-09-01,8.6,NA,23,-0.043478260869565216,-0.004347826086956583,0.10217391304347832,3.15,0.15,0,10,FALSE
M01866362,Ell2(b):Hom,MUAK,Female,Ell2,C,2014-09-01,8.6,NA,24.5,-0.09387755102040819,-0.04489795918367353,-0.05510204081632658,3.9,0.4,0.5,10,FALSE
M01867810,Usp20:Hom,MGEX,Male,Usp20,C,2014-08-26,8.9,NA,26.5,-0.11320754716981132,-0.07924528301886798,-0.09622641509433966,5.7,0.7,1,10,FALSE
M01867811,Usp20:Hom,MGEX,Male,Usp20,C,2014-08-26,8.9,NA,26.7,-0.17228464419475648,-0.059925093632958726,-0.04494382022471875,8,1.5,1.5,10,FALSE
M01867813,Usp20:Hom,MGEX,Female,Usp20,C,2014-08-26,8.9,NA,23.8,-0.1218487394957984,-0.05042016806722686,-0.025210084033613727,8.35,1.35,2,10,FALSE
M01867814,Usp20:Hom,MGEX,Female,Usp20,C,2014-08-26,8.9,NA,22,-0.15000000000000002,-0.0727272727272728,-0.1590909090909091,7.25,0.75,1.5,10,FALSE
M01868223,Camsap3:Hom,MFTU,Male,Camsap3,C,2014-09-15,9,NA,20.3,-0.19211822660098532,-0.10344827586206903,-0.04187192118226643,11.65,2.65,3,8,TRUE
M01868229,Camsap3:Hom,MFTU,Female,Camsap3,C,2014-09-15,9,NA,19.2,-0.21874999999999997,-0.041666666666666706,0.03645833333333358,7.7,1.2000000000000002,2,9,TRUE
M01868232,Camsap3:Hom,MFTU,Female,Camsap3,C,2014-09-15,9,NA,18.1,-0.19337016574585644,-0.08839779005524868,-0.005524861878453503,11.4,2.4,3,8,TRUE
M01870430,Gpr152(b):Hom,MUBW,Male,Gpr152,C,2014-09-01,8.1,NA,26.8,-0.19776119402985076,-0.07089552238805978,0.001865671641790738,8.05,1.55,2,10,FALSE
M01870434,Gpr152(b):Hom,MUBW,Male,Gpr152,C,2014-09-01,8.4,NA,26.1,-0.210727969348659,-0.10727969348659006,-0.09578544061302716,8.7,2.2,1.5,10,FALSE
M01870446,Gpr152(b):Hom,MUBW,Female,Gpr152,C,2014-09-01,8.7,NA,23,-0.008695652173913012,0.004347826086956583,0.24999999999999983,2.6,0.1,0.5,10,FALSE
M01870447,Gpr152(b):Hom,MUBW,Female,Gpr152,C,2014-09-01,8.7,NA,20.6,-0.06796116504854378,-0.024271844660194174,0.012135922330096567,2.55,0.05,0.5,10,FALSE
M01871207,Izumo1r:Hom,MFVS,Female,Izumo1r,C,2014-09-22,10.7,NA,22.5,-0.0533333333333333,-0.004444444444444508,0.12222222222222238,8.65,1.65,2,10,FALSE
M01871502,Homez:Hom,MGLE,Male,Homez,C,2014-09-01,8.3,NA,23.4,-0.1324786324786324,-0.04700854700854692,-0.023504273504273154,9.1,2.1,2,10,FALSE
M01871503,Homez:Hom,MGLE,Male,Homez,C,2014-09-01,8.3,NA,23.8,-0.15546218487394955,-0.02941176470588232,0.07773109243697462,9.85,2.35,2.5,10,FALSE
M01871507,Homez:Hom,MGLE,Female,Homez,C,2014-09-01,8.3,NA,19.7,-0.08121827411167502,-0.08121827411167502,0.005076142131979856,6.3,0.8,1.5,10,FALSE
M01871509,Homez:Hom,MGLE,Female,Homez,C,2014-09-01,8.3,NA,20.8,-0.12500000000000006,-0.09134615384615395,-0.10817307692307718,4.95,0.45,1.5,10,FALSE
M01873488,Dclk1:Het,MGKF,Male,Dclk1,C,2014-09-15,8.4,NA,27.5,-0.1563636363636364,-0.1563636363636364,-0.09272727272727256,11.2,2.2,3,7,TRUE
M01873489,Dclk1:Het,MGKF,Male,Dclk1,C,2014-09-15,8.4,NA,29.4,-0.17006802721088435,-0.17006802721088435,-0.1904761904761903,10.4,2.4,2,7,TRUE
M01873490,Dclk1:Het,MGKF,Female,Dclk1,C,2014-09-15,8.4,NA,19.3,-0.025906735751295335,-0.00518134715025914,0.02849740932642454,3.85,0.35,0.5,10,FALSE
M01873492,Dclk1:Het,MGKF,Female,Dclk1,C,2014-09-15,8.4,NA,19.1,-0.1204188481675393,-0.04188481675392674,0.04188481675392609,4.4,0.4,0,10,FALSE
M01873604,Repin1:Hom,MFTS,Male,Repin1,C,2014-09-29,10.1,NA,27.4,-0.19343065693430647,-0.09124087591240876,-0.15875912408759077,10.65,2.65,2.5,10,FALSE
M01873609,Repin1:Hom,MFTS,Male,Repin1,C,2014-09-29,10.1,NA,25.4,-0.19291338582677162,-0.0984251968503937,-0.1437007874015746,6.85,0.85,1.5,10,FALSE
M01873610,Repin1:Hom,MFTS,Female,Repin1,C,2014-09-29,10.1,NA,20.8,-0.2692307692307693,-0.19711538461538466,-0.4399038461538466,9.8,1.7999999999999998,2.5,8,TRUE
M01873781,WT,CBLT,Male,,C,2014-08-26,6,NA,22.5,0,0.05777777777777781,0.22000000000000006,9.75,1.75,2.5,10,FALSE
M01873782,WT,CBLT,Male,,C,2014-08-26,6,NA,23.5,-0.012765957446808541,0.03404255319148939,0.2638297872340426,9.3,1.8,2.5,10,FALSE
M01873784,WT,CBLT,Female,,C,2014-08-26,6,NA,17.8,-0.022471910112359668,0.056179775280898875,0.28651685393258397,5.95,0.45,1.5,10,FALSE
M01873785,WT,CBLT,Female,,C,2014-08-26,6,NA,18.4,-0.0326086956521738,0.04347826086956526,0.41304347826086996,7.449999999999999,0.95,2,10,FALSE
M01874239,WT,CBSC,Male,,C,2014-09-29,11.6,NA,25.9,-0.04247104247104239,-0.01544401544401539,-0.02316602316602281,1,0,0,10,FALSE
M01874244,WT,CBSC,Male,,C,2014-09-29,11.6,NA,31.5,-0.03492063492063496,-0.009523809523809547,0.007936507936507992,4.75,0.75,0.5,10,FALSE
M01874248,WT,CBSC,Female,,C,2014-09-29,11.6,NA,22.3,-0.03139013452914795,0.01345291479820631,-0.006726457399103313,5.05,0.55,1,10,FALSE
M01874249,WT,CBSC,Female,,C,2014-09-29,11.6,NA,23.4,-0.07264957264957263,-0.02564102564102555,-0.13675213675213618,2.25,0.25,0,10,FALSE
