Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M02454953,WT,CBSC,Female,,C,2016-08-01,6.9,NA,18,-0.027777777777777776,0.011111111111111072,0.07777777777777779,1.75,0.25,0,10,FALSE
M02454954,WT,CBSC,Female,,C,2016-08-01,6.9,NA,18.4,-0.11413043478260859,-0.09782608695652159,-0.130434782608695,2,0,0,10,FALSE
M02454956,WT,CBSC,Female,,C,2016-08-01,6.9,NA,16.5,-0.024242424242424156,-0.012121212121212078,0.05454545454545457,3.75,0.25,0.5,10,FALSE
M02454957,WT,CBSC,Female,,C,2016-08-01,6.9,NA,16,-0.012499999999999956,0.03750000000000009,0.11874999999999991,7.1,1.1,1,10,FALSE
M02457174,Ddx23:Het,TCAV,Female,Ddx23,C,2016-08-22,8.7,NA,NA,-0.011299435028248548,0.005649717514124374,0.0028248587570623884,NA,NA,NA,10,FALSE
M02457175,Ddx23:Het,TCAV,Female,Ddx23,C,2016-08-22,8.7,NA,NA,-0.0772532188841202,-0.04291845493562232,-0.0729613733905582,NA,NA,NA,10,FALSE
M02457179,Ddx23:Het,TCAV,Female,Ddx23,C,2016-08-22,8.3,NA,NA,-0.0175438596491229,-0.0175438596491229,0.026315789473684036,NA,NA,NA,10,FALSE
M02457181,Ddx23:Het,PMDF,Female,Ddx23,C,2016-08-22,8.3,NA,NA,-0.00952380952380949,-0.00476190476190483,0.030952380952380884,NA,NA,NA,10,FALSE
M02457943,Gm5083:Hom,DACD,Female,Gm5083,C,2016-08-08,7,NA,20.9,-0.13875598086124397,-0.0574162679425837,-0.047846889952152694,10.5,2,2.5,10,FALSE
M02458738,Plet1:Hom,CBSC,Female,Plet1,C,2016-09-05,10.1,NA,NA,-0.018099547511312312,-0.004524886877828118,0.09728506787330261,NA,NA,NA,10,FALSE
