Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Irf5,M01972145,Irf5:Hom,Hom,Male,2015-02-25,MGJK,92,1.3,68.3,23.7,84.7,1.09,3.27,0.01,9699.5,6034.5,10236.67,7980.67,9797.17,2.33,2.37,2.38,2.09,2.62,3.03,5.09,1.89,7.88,15.82,14.22,15.22,14.48
Pigf,M01977898,Pigf:Het,Het,Male,2015-02-25,MGLS,82,0.3,46.3,35.7,61,1.37,1.32,0,10268.33,7698,11531.67,8310.33,10114.67,2.57,2.62,2.65,2.35,2.64,3.11,5.01,2.43,7.25,16.39,14.43,15.87,14.24
Plscr2,M01976120,Plscr2(b):Hom,Hom,Female,2015-02-25,MUEH,77.7,0.3,55.3,22.3,99.7,0.8,2.86,0,7218.33,7144,7818.83,6131.33,6350,2.14,2.45,2.18,2.09,2.52,2.17,3.24,1.95,6.41,18.78,16.36,17.96,14.45
Sc4mol,M01976527,WT,WT,Female,2015-02-25,MCXP,80.3,0,54.7,25.7,63.3,1.27,2.29,0,12544.5,NA,13455.83,11130,9445.33,2.57,NA,2.59,2.52,2.65,3.65,6.43,3.14,7.34,15,13.73,14.58,13.86
Lrrc23,M01968470,WT,WT,Female,2015-02-25,MGQT,129,0.7,101,28,140,0.95,4.59,0,9799.17,4770,10145.67,8833.33,9040.17,2.26,2.1,2.29,2.21,2.7,2.58,3.96,1.89,8.53,16.4,15.1,16.3,14.15
Unk,M01966651,WT,WT,Male,2015-02-25,MGLC,83,0.7,66.7,16.3,66,1.26,4.33,0.01,12099.83,5674.5,12575.67,10278.5,14452.67,2.52,1.72,2.59,2.33,2.69,2.99,4.68,2.62,8.29,17.31,14.68,17.35,14.21
Hbs1l,M01977884,Hbs1l:Hom,Hom,Male,2015-02-25,METC,42.3,0.7,4,38.3,7.3,NA,NA,NA,6828.5,5299.5,7022.5,7097.75,9814,2.1,2.26,2.31,2.09,1.53,1.79,2.59,1.81,5.29,14.64,11.73,14.65,14.01
Tuba3a,M01977410,Tuba3a(b):Hom,Hom,Female,2015-03-02,MUEQ,41,6.7,25.3,15.7,130,0.31,1.9,0.22,5247,4868,4846.83,5190.33,7911,2.68,2.06,2.65,2.65,2.22,1.61,1.64,1.49,2.52,11.51,10.94,11.86,11.8
Camsap3,M01979732,Camsap3:Hom,Hom,Female,2015-03-02,MFTU,93.3,1.3,39.7,53.7,69,1.47,0.74,0.01,8703.33,6413.83,9007.33,8113,11325,2.29,2.02,2.39,2.21,2.42,2.37,2.59,2.16,3.46,14.29,12.99,14.03,12.84
Arid1b,M01976373,Arid1b(b):Het,Het,Male,2015-03-02,PMAX,72,1.3,44,28,49.3,1.54,1.6,0.02,10746.33,8895,11346.83,9702,14620.5,2.38,2.47,2.48,2.3,2.88,2.96,3.29,2.66,5.99,17.97,15.38,17.9,13.86
Enthd2,M01978017,Enthd2(b):Hom,Hom,Male,2015-03-02,MUFN,75.3,11.7,24.7,50.7,37,2.08,0.46,0.2,5808.5,7241.83,6217.5,5763.5,9591.17,2.55,2.57,2.74,2.44,2.48,2.35,2.57,2.26,4.01,13.76,13.51,13.45,12.6
D7Ertd443e,M01981336,D7Ertd443e:Hom,Hom,Female,2015-03-02,MGLR,116.7,1.7,80.3,36.3,96.3,1.22,2.23,0.01,9064.33,7696,10685,6943.33,10878.67,2.63,2.95,2.63,2.65,2.72,2.96,3.37,2.57,4.69,15.32,13.41,15.04,12.68
Tbc1d22a,M01969454,Tbc1d22a(b):Hom,Hom,Female,2015-03-02,MUEY,89.3,4,47.7,41.7,79,1.14,1.19,0.14,6226.83,6180,6295,6070.5,9997.67,2.5,2.22,2.68,2.37,2.72,2.43,3.02,2.34,4.84,16.1,14.51,15.97,13.24
Plscr2,M01977984,Plscr2(b):Hom,Hom,Female,2015-03-02,MUEH,88,1.7,69.3,18.7,118,0.76,4.46,0.02,10913.83,5394.75,11382.33,8621.83,9632.67,2.26,2.01,2.31,2.18,2.41,2.79,3.13,2.14,4.06,15.64,13.82,14.79,13.44
Camkmt,M01983483,camkmt(b):Hom,Hom,Female,2015-03-02,MUDU,134,1.3,79.3,54.7,106.7,1.27,1.57,0.01,10080.83,4787.5,10935.5,8650.5,9689.17,2.2,2.06,2.21,2.13,2.59,2.48,2.93,2.16,4.25,15.25,13.79,14.77,13.04
Orc1,M01981571,Orc1:Het,Het,Female,2015-03-02,MGNP,104.7,1.3,84,20.7,96,1.1,4.4,0.01,11329.67,5879,11600.5,9491.33,13099.67,2.47,2.07,2.5,2.34,2.42,3.12,3.52,2.57,5.16,15.51,13.8,15.36,13.37
4931429L15Rik,M01971582,4931429L15Rik:Hom,Hom,Female,2015-03-02,MGNZ,131.7,0,88,43.7,92.3,1.43,2.05,0,10679.5,NA,11250.83,8841.33,8110,2.16,NA,2.19,2.06,2.58,2.71,3.04,2.34,4.45,15.65,14.02,15.3,13.39
Sept10,M01977815,Sept10:Hom,Hom,Male,2015-03-02,MFXQ,61.7,13.3,24.7,37,60.3,1.03,0.78,0.22,5732.67,6282,5908.33,5570.67,8439,2.39,2.42,2.49,2.3,2.51,1.99,2.51,1.71,3.38,15,13.76,14.6,12.94
Rnf125,M01982477,WT,WT,Female,2015-03-04,MGQZ,93.3,5,64,29.3,102.3,0.97,3.31,0.08,9370.33,9400.67,10374.5,7060.33,9224.67,2.42,2.16,2.45,2.31,2.53,2.55,3.09,2.19,3.61,13.44,12.06,12.67,12.58
Zbed5,M01972609,Zbed5(b):Hom,Hom,Male,2015-03-04,MUGX,70,3,43,27,106.7,0.68,1.57,0.04,8097.33,6087.25,9226.33,8027.67,9449.83,2.1,1.67,2.11,2.01,2.45,2.15,2.46,1.89,3.72,14.54,12.93,13.2,13.08
Cttnbp2,M01983547,Cttnbp2(b):Hom,Hom,Male,2015-03-04,MUDC,38.3,4.3,21,17.3,69,0.55,1.27,0.24,6633.83,7335.67,8173.33,5735.67,14628,2.55,2.37,2.63,2.4,2.91,2.04,2.41,1.34,5.94,13.23,12.49,11.58,13.16
4933434E20Rik,M01979796,WT,WT,Male,2015-03-04,MERZ,85.3,2.3,40,45.3,62,1.4,0.92,0.03,8673.83,5639.25,9244.17,8102.83,10250.17,2.45,2.46,2.46,2.41,2.64,2.53,2.97,2.2,3.96,15.76,13.88,15.36,12.94
Rnf125,M01982480,WT,WT,Female,2015-03-04,MGQZ,76,7,26.7,49.3,84.7,0.89,0.56,0.12,5822.5,3798.83,6023.33,5646,5647.67,2.08,2,2.12,2.07,2.06,1.69,2.18,1.53,1.87,12.76,11.75,12.64,11.95
Fam122c,M01972959,WT,WT,Male,2015-03-04,PMAG,94.3,13,61,33.3,63,1.54,1.75,0.49,7018.67,4557.5,7597,6042.17,9522.67,2.2,2.34,2.34,2.16,2.55,2.3,3.07,2.03,4.59,15.82,14.39,15.31,13.3
Ldhb,M01983544,Ldhb(b):Hom,Hom,Male,2015-03-04,MUGM,78.7,0.3,40.7,38,60,1.45,1.13,0,12015.33,4760,12666,11001.83,9354.67,2.37,1.55,2.49,2.25,2.55,3.25,3.96,2.97,4.69,15.7,14.07,15.44,13.35
Apip,M01983696,Apip(b):Hom,Hom,Male,2015-03-04,MUEU,91,1.3,53.3,37.7,55,1.65,1.45,0.02,6868.17,4949.83,7214.33,6342.5,16781.33,2.59,2.27,2.65,2.5,3.04,2.35,2.75,2.22,4.61,15.48,13.69,15.48,12.56
Dcdc2b,M01976815,Dcdc2b(b):Hom,Hom,Male,2015-03-04,MUFJ,110.3,7.3,65,45.3,87.7,1.27,1.51,0.06,6490.33,5093.83,6608.83,6048.33,12907,2.55,2.37,2.68,2.38,2.71,2.28,2.86,1.84,3.62,15.43,14,14.77,11.94
Galnt18,M01983083,WT,WT,Male,2015-03-09,MUEL,110,0,85,25,84.3,1.34,3.41,0,13065.83,NA,13849,11509.67,12487.67,2.44,NA,2.47,2.25,2.7,3.35,3.85,2.47,5.47,16.03,14.01,15.03,13.31
Zfp84,M01985843,Zfp84(b):Hom,Hom,Male,2015-03-09,MUDX,75.3,4.3,43.3,32,72.7,1.1,1.37,0.06,6082.67,5629.67,6436.17,5931,13860.17,2.45,2.07,2.48,2.34,2.61,2.06,2.46,1.86,4.04,14.76,12.88,14.33,12.1
Chtop,M01982191,WT,WT,Male,2015-03-09,MFUD,80,1.3,56.7,23.3,64.7,1.24,2.39,0.02,11573.83,13492.75,11815.5,10264.83,13540.17,2.37,2.56,2.43,2.2,2.89,2.88,3.34,2.36,6.32,16.8,14.37,16.6,14.07
Plscr2,M01985736,WT,WT,Female,2015-03-09,MUEH,124,1,83,41,98.7,1.28,2.11,0.01,7923,6450.25,9813.33,6204.17,9505.5,2.46,2.54,2.52,2.33,2.46,2.95,3.48,2.29,4.05,14.58,12.88,14.14,12.77
Atp5f1,M01983030,Atp5f1(b):Het,Het,Male,2015-03-09,PMAB,98.7,3,63.7,35,95.7,1.03,1.89,0.03,11897.17,5083.5,12845.67,9554.17,13231.67,2.39,2.01,2.4,2.38,2.59,2.35,3.12,1.94,3.87,13.02,12.11,12.64,11.83
Enthd2,M01985750,Enthd2(b):Hom,Hom,Female,2015-03-09,MUFN,55,5.7,30.7,24.3,95.3,0.6,1.34,0.11,8258,6013.67,8583.33,7730,9450,2.3,2.28,2.32,2.2,2.64,2.19,2.7,1.7,4.36,15.23,13.37,14.28,13.22
D930028M14Rik,M01979114,WT,WT,Female,2015-03-09,MFAB,102.3,0.7,77,25.3,119.3,0.86,3.05,0.01,10797.33,6586,11551.5,9050.33,8017.17,2.44,2.22,2.49,2.15,2.45,3.12,3.8,2.17,3.86,15.6,13.85,14.82,13.19
Elac2,M01990344,Elac2(b):Het,Het,Male,2015-03-11,PMAH,83,1.3,60.3,22.7,79,1.09,2.74,0.11,11931.67,8272.83,12293.83,10253.83,11075,2.34,2.46,2.35,2.3,2.69,3.29,3.98,2.76,5.6,17.45,15.07,17.78,13.93
Tuba3a,M01992306,Tuba3a(b):Hom,Hom,Female,2015-03-11,MUEQ,93,0.7,52.7,40.3,66.7,1.4,1.32,0.01,10778.67,5692.5,11665.5,9824,9725.83,2.44,3.75,2.48,2.4,2.9,2.97,3.71,2.49,5.36,17.43,14.77,17.14,13.92
Tmem110,M01991072,Tmem110(b):Hom,Hom,Male,2015-03-11,PMAC,90.3,1.7,51.3,39,57.7,1.62,1.41,0.02,12671,7219,13715.33,10700,13592.33,2.38,2.7,2.45,2.22,2.77,3.03,3.39,2.6,5.92,15.79,14.33,15.33,14.01
Ldhb,M01990399,Ldhb(b):Hom,Hom,Male,2015-03-11,MUGM,69,0,41,28,48.3,1.45,1.5,0,14081.67,NA,15203,12398.33,15607.67,2.42,NA,2.5,2.29,2.95,3.36,4.25,2.75,6.53,15.97,14.29,15.58,13.85
Clpp,M01986218,Clpp:Hom,Hom,Female,2015-03-11,MFLC,102,0.7,58.3,43.7,92.3,1.12,1.4,0.01,8301,5594,9121.33,7396.67,10046.67,1.97,1.82,2.04,1.87,2.48,1.94,2.31,1.65,4.65,15.32,13.26,15.4,13.18
Pla2g6,M01986041,Pla2g6:Hom,Hom,Female,2015-03-11,MFZL,92.7,0.3,53,39.7,53,1.79,1.49,0,10872.67,9681,11243.33,10032.33,13104.67,2.47,3.2,2.55,2.34,3.04,3.15,3.55,2.82,6.84,16.9,15.4,16.57,14.45
Defb30,M01985869,Defb30(b):Hom,Hom,Female,2015-03-11,MUEA,137,1,94.7,42.3,115.7,1.18,2.26,0.01,12080.33,6578,13725.5,8434.17,9106.5,2.31,2.21,2.37,2.2,2.28,3.23,3.77,2.45,3.45,13.68,12.6,13.32,12.56
Defb30,M01985867,Defb30(b):Hom,Hom,Female,2015-03-11,MUEA,108.3,0,91.3,17,96.3,1.15,6.2,0,13699,NA,14056.67,9668,11709,2.4,NA,2.43,2.18,2.57,3.5,3.78,2.59,4.5,16.42,14.41,15.49,13.27
Casc4,M01990614,Casc4(b):Hom,Hom,Male,2015-03-11,MUDO,101,1.7,51.7,49.3,60,1.66,1.02,0.02,10590.5,6290,11570.17,8876.5,15271.5,2.48,2.33,2.51,2.43,2.77,2.84,3.32,2.6,5.34,14.41,13.03,13.81,12.82
Pla2g6,M01986074,Pla2g6:Hom,Hom,Male,2015-03-11,MFZL,93,1.3,55.3,37.7,76,1.23,1.55,0.01,12002.33,6924.5,13190.33,8710.5,10338.5,2.42,2.87,2.43,2.35,2.44,2.96,3.5,2.47,3.99,13.72,12.36,13.66,12.46
Orc1,M01981567,Orc1:Het,Het,Female,2015-03-11,MGNP,142.7,0,100.7,42,101,1.41,2.5,0,11434.67,NA,11930.67,10015.5,11381.33,2.36,NA,2.38,2.31,2.57,3.22,3.83,2.74,4.87,15.21,14.16,14.75,12.96
Kif24,M01984761,Kif24(b):Hom,Hom,Female,2015-03-11,MUDP,134.7,0.7,94,40.7,87,1.56,2.33,0.01,10567.67,6539.5,11331.33,9589,10628.83,2.25,1.9,2.3,2.1,2.59,2.73,3.06,2.36,4.59,16.02,14.52,16.14,13.28
Bnip2,M01995747,Bnip2(b):Hom,Hom,Female,2015-03-16,MUEN,56,17,32,24,77,0.69,1.21,0.47,9656.5,7158.67,11930.67,7797,8975.83,2.39,2.38,2.53,2.25,2.73,2.52,2.89,2.18,3.85,14.14,13.27,13.5,12.72
Fnip2,M01992256,Fnip2:Hom,Hom,Female,2015-03-16,MGSD,157.7,0.3,113.3,44.3,119,1.39,2.96,0,10319.33,3490,10475,9465.5,9713.5,2.33,2.42,2.36,2.24,2.6,2.37,2.54,2.12,3.22,14.85,13.6,14.52,11.86
Prrc2b,M01991839,Prrc2b:Het,Het,Male,2015-03-16,MDZU,90.7,0.3,65.3,25.3,75.3,1.22,2.65,0,10476.17,3528,10776,9504.83,9981.5,2.38,2.44,2.4,2.28,2.62,3.24,3.95,2.77,4.18,15.92,14.17,15.3,12.84
Pigf,M01984646,WT,WT,Male,2015-03-16,MGLS,80.3,1.3,49,31.3,75.3,1.07,1.78,0.11,12045.83,4753.67,13969.67,9244.17,9702.83,2.46,2.26,2.49,2.41,2.66,3.12,3.66,2.49,4.22,16.18,14.19,15.43,12.81
Clpp,M01986154,WT,WT,Male,2015-03-16,MFLC,105.7,0.7,71.3,34.3,74,1.46,2.32,0.01,9375,5812,9803,8527,12390.67,2.5,2.21,2.59,2.41,2.97,2.92,3.35,2.29,5.22,16.2,14.07,16.24,13.14
Prrc2b,M01991841,WT,WT,Female,2015-03-16,MDZU,101.7,0.3,75.3,26.3,141.3,0.72,3.04,0,9525.83,7069,10173.17,8315.33,6216.5,2.16,1.68,2.23,2.01,2.4,2.51,3.1,1.84,2.87,15.35,13.68,14.55,12.47
Galnt18,M01992180,WT,WT,Female,2015-03-16,MUEL,95,0.3,57.3,37.7,75.3,1.37,1.54,0,14454.5,10391,15523.17,11477,10134.5,2.38,3.42,2.41,2.28,2.54,3.06,3.45,2.49,3.5,14.85,13.32,14.93,12.05
Oaf,M01992060,Oaf:Hom,Hom,Female,2015-03-16,MGNL,78,1,56,22,96,0.81,2.65,0.01,9439.83,5902.75,10712.17,7254.5,8820.83,2.28,1.98,2.3,2.21,2.63,2.6,3.12,2,4.43,13.66,12.17,13.55,13.12
Atp5f1,M01991084,Atp5f1(b):Het,Het,Male,2015-03-16,PMAB,101.3,1,75.7,25.7,76,1.34,3,0.01,11767.67,6081,12662.17,9674.17,10929.67,2.5,2.32,2.52,2.45,2.77,2.71,3.05,2,3.21,13.53,11.92,13.23,12.06
Tent5c,M01990442,Fam46c(b):Het,Het,Female,2015-03-16,MUFH,66,10,53.3,12.7,105,0.62,4.02,0.4,6591.17,6121.33,6627,5527.83,8227.33,2.54,2.25,2.57,2.23,2.56,2.02,2.26,1.3,3.59,12.83,11.9,12.3,12.73
Pam16,M01989345,WT,WT,Male,2015-03-17,MUEK,30,12.7,12,18,45,0.66,0.68,0.66,9044,8490.5,9193.33,9178.17,10461.83,2.35,2.42,2.44,2.2,2.75,2.4,2.93,2.17,4,13.1,12.6,12.64,13.01
Pam16,M01989350,WT,WT,Female,2015-03-17,MUEK,59.3,10,32.7,26.7,74.7,0.66,1.11,0.66,9834.67,6905.33,9939,9541.67,6419.83,2.12,2.06,2.19,2.05,2.4,2.24,2.34,1.96,2.88,14.76,13.05,13.94,12.6
Pam16,M01989294,WT,WT,Male,2015-03-17,MUEK,69,0,50.3,18.7,62.7,1.12,2.82,0,15526.5,NA,16851,9535.83,13353.83,2.63,NA,2.65,2.56,2.82,2.88,3.26,2.09,3.7,14.19,12.33,13.41,12.11
Cmpk2,M01987915,WT,WT,Male,2015-03-17,MGUD,112,3.3,37,75,54.7,2.23,0.72,0.03,11025.33,10176.17,13141.83,9202.83,9037.33,2.71,2.99,2.94,2.65,2.58,2.77,3.26,2.49,3.5,13.6,12.99,13.46,11.51
Bach2,M01992847,Bach2:Hom,Hom,Male,2015-03-17,MFZQ,63,0,47.3,15.7,94.3,0.65,3.06,0,15124,NA,15547.67,11484.33,8177.5,2.31,NA,2.32,2.24,2.55,3.69,4.39,2.82,3.57,15.85,13.65,15.88,12.93
Bach2,M01992846,Bach2:Hom,Hom,Male,2015-03-17,MFZQ,88.3,1.3,45,43.3,72,1.23,1.03,0.02,8756.17,14516.5,12791.33,7201.83,7707.5,2.59,2.73,2.57,2.63,2.55,3.16,4.17,2.7,2.73,14.43,12.98,14.38,12.19
Bach2,M01992850,Bach2:Hom,Hom,Female,2015-03-17,MFZQ,124,0,105.3,18.7,143.7,0.86,5.75,0,12715,NA,13626.67,8210,9239.83,2.41,NA,2.43,2.2,2.44,3,3.6,2.15,2.65,13.72,12.48,12.88,11.69
Bach2,M01992851,Bach2:Hom,Hom,Female,2015-03-17,MFZQ,77.7,5.3,41.3,36.3,106.7,0.76,1.13,0.07,7380.33,4681,7620.5,7379,6338.5,2.56,2.45,2.54,2.55,2.23,2.5,2.83,2.34,1.95,12.82,11.99,12.93,11.4
Bach2,M01992848,Bach2:Hom,Hom,Male,2015-03-17,MFZQ,106.7,0.3,80.7,26,89.7,1.23,3.33,0,15315.83,5783,15797.67,13073.83,8335.17,2.54,1.98,2.57,2.43,2.71,3.9,4.31,3.11,3.76,16.02,14.55,15.8,12.83
Pam16,M01989301,WT,WT,Female,2015-03-17,MUEK,127,0.3,78,49,100,1.34,1.93,0,11070.33,4577,11795.67,9749,8691.33,2.36,1.91,2.41,2.29,2.54,3.08,3.52,2.81,3.8,16.13,14.1,15.51,12.4
Bach2,M01992849,Bach2:Hom,Hom,Female,2015-03-17,MFZQ,113,0,96,17,99.7,1.14,5.79,0,11805.67,NA,12208.83,9638.33,10893.33,2.65,NA,2.68,2.49,2.67,3.77,3.88,2.92,3.8,16.04,13.84,15.11,12.23
Pam16,M01989298,WT,WT,Female,2015-03-17,MUEK,89.3,1,67.7,21.7,106.7,0.83,3.6,0.01,10284,7285.25,10732.17,8357.67,7633,2.36,2.03,2.4,2.19,2.59,3.15,3.67,2.43,3.94,16.84,14.76,15.79,13.14
Hbs1l,M01980605,Hbs1l:Hom,Hom,Male,2015-03-17,METC,102.7,4.7,35,67.7,39,5.83,3.22,0.11,8231.67,5926.5,8371.67,7445.17,9423.67,2.51,1.74,2.61,2.45,2.83,1.7,1.75,1.51,2.99,14.59,13.04,14.01,11.91
Pam16,M01989343,WT,WT,Male,2015-03-17,MUEK,55.3,5.7,28.7,26.7,43.3,1.29,1.16,0.12,9815.67,7741.5,10191.33,9211.5,10410.67,2.33,2.2,2.38,2.26,2.55,2.55,2.76,2.41,3.79,14.53,13.32,14.02,12.86
Ccdc69,M01995017,Ccdc69(b):Hom,Hom,Female,2015-03-18,MUGL,94.7,0,66.7,28,119.3,0.79,2.39,0,12753.17,NA,13637.83,10952.83,9762.5,2.28,NA,2.29,2.25,2.53,2.76,3.23,2.39,3.43,13.97,12.76,13.41,12.07
Pclaf,M01991213,2810417H13Rik:Hom,Hom,Male,2015-03-18,MGRK,81.7,0,56.3,25.3,67,1.22,2.29,0,11675.17,NA,12604.83,10182,15614.67,2.42,NA,2.46,2.33,2.88,2.92,3.44,2.18,5.12,16.21,14.17,14.76,12.56
Zfp84,M01996014,Zfp84(b):Hom,Hom,Female,2015-03-18,MUDX,77.3,0.3,59,18.3,75,1.04,3.49,0,10883.33,5677,11679.33,8697.67,9886,2.37,1.84,2.45,2.14,2.64,2.73,2.99,2.18,4.24,17.05,14.73,17.4,12.99
Tuba3a,M01992292,Tuba3a(b):Hom,Hom,Male,2015-03-18,MUEQ,77,5.7,39.3,37.7,43.3,1.78,1.15,0.13,11106,7036,12710.33,10461.33,10168.83,2.23,2.22,2.3,2.15,2.71,2.69,3.34,2.34,4.29,15.01,13.44,14.72,13.32
Nipsnap3a,M01994748,Nipsnap3a(b):Hom,Hom,Male,2015-03-18,MUHU,113.7,1.3,94,19.7,114.7,1,4.91,0.01,10665,5823.5,11006.83,7046.83,8949.17,2.46,2.33,2.5,2.35,2.58,2.58,2.91,1.7,3.45,14.27,12.62,13.49,12.23
Cxcr1,M01991014,Cxcr1:Hom,Hom,Female,2015-03-18,MGKP,119.3,3.3,64.7,54.7,90.3,1.33,1.2,0.03,9833.33,6291.5,11092.83,8651.33,9766,2.49,2.36,2.51,2.44,2.33,2.95,3.32,2.68,2.78,13.97,13.02,13.42,11.77
Cutal,M01993144,Cutal:Hom,Hom,Female,2015-03-18,MFBV,110,1.3,70,40,91.3,1.23,2.23,0.02,9262,5606.5,9322.83,9120.67,8939.83,2.11,2.1,2.15,2,2.66,2.29,2.51,1.99,3.65,14.77,13.18,14.11,12.65
Casc4,M01994787,Casc4(b):Hom,Hom,Female,2015-03-18,MUDO,95.7,2.3,72.7,23,119.7,0.84,3.72,0.03,10448.5,4313.83,10815.33,8985,8261.5,2.34,2.33,2.37,2.21,2.64,3.07,3.42,2.6,4.1,15.68,13.88,14.56,12.6
Pam16,M01989278,Pam16(b):Het,Het,Male,2015-03-18,MUEK,96.7,0,62,34.7,56,1.78,2,0,13684,NA,14268.33,12411,15325.33,2.52,NA,2.59,2.41,2.9,3.62,3.81,3.09,4.87,15.71,13.72,15.47,12.41
Selenow,M01996744,Sepw1(b):Hom,Hom,Female,2015-03-23,MUHP,106.3,3,76,30.3,133.7,0.8,2.67,0.03,4531.29,2900.14,4842.91,3777.64,5821.39,2.62,2.53,2.63,2.58,2.61,7.39,7.88,6.91,23.38,9.74,9.68,4.89,6.81
Dhx33,M02001750,Dhx33(b):Het,Het,Male,2015-03-25,MUFU,74,0.3,51,23,64.7,1.16,2.54,0.01,8526.46,981.49,9090.77,7281.92,7617.53,2.54,2.4,2.56,2.49,2.69,6.69,7.26,6.4,15.05,12.16,12.1,7.85,8.81
Catip,M02001544,Catip(b):Hom,Hom,Female,2015-03-25,MUCX,101.7,0.7,81.3,20.3,111.7,0.92,4.66,0.01,5462.48,1564.35,5927.84,3682.94,6445.97,2.58,2.02,2.58,2.59,2.62,8.64,9.42,6.2,12.76,10.06,9.99,5.95,8.79
Actl10,M01997180,Actl10:Hom,Hom,Male,2015-03-23,MGML,56.3,3,27.7,28.7,57.3,1.01,1.4,0.05,6661.69,3144.18,7192.28,5895.67,4781.66,2.48,2.54,2.59,2.42,2.49,10.08,11.18,9.6,21.58,9.14,8.83,6.51,7.09
Pycr2,M01998303,Pycr2:Hom,Hom,Male,2015-03-25,MGQS,97,0,56,41,75,1.38,1.71,0,7773.2,NA,8564.87,6525.61,8139.35,2.43,NA,2.45,2.37,2.78,8.36,9.42,7.52,21.55,10.07,9.93,5.87,7.59
Rwdd1,M01995564,Rwdd1(b):Hom,Hom,Female,2015-03-23,MUEC,74.7,22.3,30,44.7,106,0.7,0.83,0.32,3666.5,3416.98,4101.7,3174.37,3119.87,2.43,2.67,2.49,2.39,2.35,10.09,11.94,8.46,17.74,7.32,7.12,4.91,6.48
Sh3bp4,M02000118,WT,WT,Male,2015-03-23,MGNY,57.3,13.3,23.7,33.7,76.3,0.76,0.93,0.23,4909.56,3867.57,5882.86,4007.88,5324.05,2.59,2.57,2.66,2.53,2.41,9.57,11.39,8.64,12.14,9.49,9.59,5.67,8.51
Pabpc4,M01994544,WT,WT,Female,2015-03-23,MEBQ,75,3.3,47,28,84.7,1.37,1.69,0.08,3212.13,2361.48,3154.79,2528.5,5040.25,2.48,2.49,2.32,2.47,2.43,6.66,6.74,5.68,19.98,9.53,8.33,6.02,6.62
Gas2l2,M01996408,WT,WT,Male,2015-03-23,MGNF,74,2.7,50.7,23.3,58.3,1.3,2.42,0.03,7506.84,3083.94,7892.74,6418.53,7744.66,2.5,2.78,2.49,2.52,2.76,11.13,12.22,10.07,34.38,9.29,8.46,7.02,6.59
Fam122c,M02001925,Fam122c(b):Hemi,Hom,Male,2015-03-25,PMAG,77.7,4.7,46.3,31.3,74.3,1.07,1.64,0.08,5324.08,2907.06,5649.8,4874.05,5905.5,2.65,2.61,2.68,2.63,2.83,6.55,6.91,6.54,23.2,11.03,10.82,7.14,6.46
Pclaf,M01998023,2810417H13Rik:Hom,Hom,Female,2015-03-25,MGRK,111.3,3,80.7,30.7,107.7,1.04,2.84,0.03,8144.53,2009.14,8756.95,6580.3,6754.54,2.43,2.48,2.46,2.33,2.55,8.01,8.73,7,15.51,10.03,9.91,6.4,8.19
Pwp1,M01990842,Pwp1:Het,Het,Male,2015-03-23,MGQG,77.7,2,54,23.7,76.7,1.01,2.37,0.11,7545.99,4152.71,8201.07,5928.2,6451.14,2.52,2.58,2.56,2.45,2.8,7.66,8.34,6.76,16.12,11.43,11.36,6.68,8.47
Ifnlr1,M01991359,WT,WT,Female,2015-03-23,MGKC,71.3,18.7,23.7,47.7,98.3,1.18,0.52,0.26,2816.79,1938.49,2999.41,2795.44,3540.81,2.44,2.51,2.46,2.43,2.08,9.63,10.25,9.5,16.37,7.3,7.04,4.69,6.14
Fam122c,M02001921,Fam122c(b):Hemi,Hom,Male,2015-03-25,PMAG,78,2.3,51.7,26.3,62.3,1.26,2.11,0.03,6029.9,3881.46,6392.09,5139.21,6969.46,2.66,2.92,2.75,2.48,2.8,6.39,6.8,5.97,13.9,12.42,12.81,6.69,9.11
Rspo4,M01996705,Rspo4:Hom,Hom,Male,2015-03-23,MGNR,88,2.3,68.3,19.7,95,0.93,3.86,0.03,7029.82,1455.8,7361.74,5923.68,6082.28,2.4,2.37,2.44,2.28,2.56,9.51,9.95,8.75,18.19,10.36,10.14,6.66,7.47
