Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Vg5plus_Dendritic_epidermal_T_cell_xDETCx_count,CD45plus_Vg5minus_MHC_IIminus_cell_count,Count_of_Vg5plus_DETC_contacting_LC,Count_of_Vg5plus_DETC_not_contacting_LC,Langerhans_cell_xLCx_count,Vg5plus_DETC_to_LC,contacting_to_not_contacting_Vg5plus_DETC,CD45plus_Vg5minus_MHC_IIminus_cells_to_Vg5plus_DETC,Average_volume_of_Vg5plus_DETC,Average_volume_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_volume_of_Vg5plus_DETC_contacting_LC,Average_volume_of_Vg5plus_DETC_not_contacting_LC,Average_volume_of_LC,Average_roundness_of_Vg5plus_DETC,Average_roundness_of_CD45plus_Vg5minus_MHC_IIminus_cells,Average_roundness_of_Vg5plus_DETC_contacting_LC,Average_roundness_of_Vg5plus_DETC_not_contacting_LC,Average_roundness_of_LC,Average_no_of_branches_on_Vg5plus_DETC,Average_no_of_branches_on_Vg5plus_DETC_contacting_LC,Average_no_of_branches_on_Vg5plus_DETC_not_contacting_LC,Average_no_of_branches_on_LC,Average_branch_length_of_Vg5plus_DETC,Average_branch_length_of_Vg5plus_DETC_contacting_LC,Average_branch_length_of_Vg5plus_DETC_not_contacting_LC,Average_branch_length_of_LC
Ctr9,M01773179,Ctr9(b):Het,Het,Male,2014-07-14,MUAZ,92.3,1,59,33.3,48,1.95,1.88,0.11,14857.67,6929.67,15366,13121.83,14019,2.74,2.99,2.77,2.61,2.84,4.08,4.37,3.7,5.81,15.65,13.92,15.09,13.73
Vps72,M01773706,Vps72:Het,Het,Male,2014-07-14,MFUE,122.3,2.3,85.3,37,137.3,0.89,2.49,0.02,10156.67,4803.83,10822,8615,6862.5,2.23,1.77,2.3,2.19,2.3,2.65,3.03,2.11,3.2,15.5,13.71,15.06,12.62
Ap4e1,M01783069,Ap4e1(b):Hom,Hom,Male,2014-07-14,MUCH,53.7,11.7,23,30.7,30.3,3.3,0.9,0.27,11039.33,9350.17,12344,9396,13212.33,2.63,2.72,2.91,2.59,2.77,2.83,2.92,2.58,4.8,13.34,11.59,13.43,13.15
Tctex1d2,M01778517,Tctex1d2:Hom,Hom,Male,2014-07-14,MFYD,89,1.3,62.7,26.3,91,1.06,2.79,0.02,11769.17,4818.25,12629.5,10712.33,9729.33,2.3,2.43,2.38,2.04,2.6,2.73,3.09,2.16,4.68,16.62,14.46,15.64,13.8
Vps72,M01773708,Vps72:Het,Het,Female,2014-07-14,MFUE,112.3,3,63,49.3,91.7,1.24,1.26,0.03,9952.17,6053.67,10953,9017.5,7225.67,2.45,2.32,2.46,2.43,2.38,2.55,3.16,2.25,3.12,13.64,12.48,13.92,12.85
Hibadh,M01774590,Hibadh(b):Hom,Hom,Male,2014-07-14,MUDR,60,6,34.7,25.3,67,0.89,1.33,0.13,7120.33,6914.83,6984.67,6913.17,13606.5,2.44,2.37,2.51,2.39,2.93,2.11,2.34,1.8,5.88,13.2,12.48,12.89,14.08
Kif1bp,M01777437,Kif1bp:Het,Het,Female,2014-07-14,MGCY,100.7,4,64.7,36,93.7,1.12,1.79,0.05,8864.33,5662.75,9325,7776,8593.5,2.47,2.19,2.5,2.36,2.71,2.66,2.9,2.54,4.74,16,14.61,15.05,13.54
Krt31,M01778561,Krt31:Hom,Hom,Female,2014-07-16,MFSN,78.3,2.3,59,19.3,103.3,0.77,3.1,0.03,9917.67,7992,10488,8813.83,10842.67,2.19,2.27,2.19,2.19,2.65,2.41,2.84,1.84,4.13,15.06,13.61,14.97,12.93
Chtop,M01775613,Chtop:Het,Het,Female,2014-07-16,MFUD,84.7,1.7,61.3,23.3,89,0.98,2.58,0.02,9504.17,9985.17,9876.33,8390.67,11299.17,2.43,2.32,2.46,2.35,2.73,2.56,2.83,2.17,4.56,15.07,13.72,14.3,12.9
Ndufb8,M01773793,Ndufb8:Het,Het,Male,2014-07-16,MFHG,73.3,3.3,43.3,30,53.7,1.46,1.44,0.04,12208.83,6518.83,12895.67,10694.5,14594.83,2.27,2.23,2.33,2.15,2.97,2.7,2.94,2.52,5.58,16.73,14.34,15.92,13.54
Lyrm9,M01778996,Lyrm9:Hom,Hom,Female,2014-07-16,MGHA,83,0,59.3,23.7,99.3,0.84,2.56,0,11622.33,NA,12730.33,10520.33,11193.67,2.46,NA,2.52,2.3,2.65,2.93,3.4,2.34,4.44,15.57,13.81,15.05,12.87
Gm5544,M01773188,Gm5544:Het,Het,Male,2014-07-16,MFYG,65.7,2.7,47,18.7,64.3,1.01,2.84,0.05,11509.17,6526.5,12242.17,8654.17,13172.5,2.58,2.8,2.64,2.51,2.82,2.97,3.15,2.11,5.89,12.28,11.54,12.15,13.69
Il23r,M01773978,Il23r:Hom,Hom,Female,2014-07-16,MFXK,111,1,86,25,107.7,1.03,3.5,0.01,11102.5,6689.5,11332.83,8184.83,13412.33,2.4,1.86,2.47,2.24,2.66,2.81,3.03,2.32,5.2,15.83,14.15,15.36,13.1
Gm5544,M01773206,Gm5544:Het,Het,Female,2014-07-16,MFYG,100,1.7,81.3,18.7,107.3,0.91,4.31,0.02,11318.33,8640,11483.67,9959.17,11074.5,2.27,3.33,2.31,2.03,2.66,2.75,3.16,1.97,5.03,15.76,14,14.91,13.12
L3mbtl2,M01776703,L3mbtl2:Het,Het,Female,2014-07-16,MFPQ,79,0,54.7,24.3,81.3,0.98,2.67,0,9666,NA,10224.17,8248.83,10950.33,2.17,NA,2.23,1.99,2.69,2.3,2.75,1.66,5.25,15.69,13.77,15.91,13.65
1700007K13Rik,M01781855,1700007K13Rik(b):Hom,Hom,Female,2014-07-21,MUEJ,150,0.3,98,52,122,1.25,1.9,0,12064.83,6981,13451.5,9220.33,13840.67,NA,NA,NA,NA,NA,7.75,13.44,8.16,17.01,NA,NA,NA,NA
Izumo1r,M01778580,Izumo1r:Hom,Hom,Female,2014-07-21,MFVS,132.3,0.3,99.3,33,112,1.19,3.1,0,12739.33,7238,13034,10485.67,9843.17,NA,NA,NA,NA,NA,4.35,6.78,4.04,12.12,NA,NA,NA,NA
Pth1r,M01780286,Pth1r:Het,Het,Male,2014-07-21,MFUV,111,0,73.7,37.3,75.7,1.47,1.98,0,12308.33,NA,12866.5,11028.67,13287.5,NA,NA,NA,NA,NA,6.4,10.73,5.9,14.67,NA,NA,NA,NA
Sap130,M01781199,Sap130:Het,Het,Male,2014-07-21,MGBF,99,1,60,39,72,1.37,1.58,0.01,14080.33,7684.5,15134,12795.67,13669,NA,NA,NA,NA,NA,7.68,14.39,6.87,13.07,NA,NA,NA,NA
Defb14,M01786169,Defb14(b):Hom,Hom,Female,2014-07-21,MUFD,40,0,27,13,105,0.38,2.08,0,6118.5,NA,6486,5736,12288,NA,NA,NA,NA,NA,9.45,20.44,4.85,15.93,NA,NA,NA,NA
Prrg2,M01784353,Prrg2(b):Hom,Hom,Male,2014-07-21,MUBG,82,0.7,52,30,69,1.16,1.81,0.01,8178.67,5992,8853.83,6560.83,15561.5,NA,NA,NA,NA,NA,6.14,12.4,5.11,15.63,NA,NA,NA,NA
Cxcr2,M01782631,Cxcr2:Hom,Hom,Male,2014-07-21,MFFS,91.3,0.3,65.3,26,76.3,1.19,2.48,0,13180,3352,13773.17,10487.5,13598.5,NA,NA,NA,NA,NA,6.4,11.28,5.92,13.41,NA,NA,NA,NA
Kcnh4,M01780686,WT,WT,Male,2014-07-21,MUFM,90.3,0,48.7,41.7,59.3,1.53,1.16,0,14216.33,NA,15981.33,12493.67,18552,NA,NA,NA,NA,NA,6.2,10.91,5.83,14.31,NA,NA,NA,NA
Adcy9,M01781598,WT,WT,Male,2014-07-21,MUFE,101.3,0.7,52,49.3,106.3,0.98,1.05,0.01,7677.17,3884.5,8382,7040.5,8790.67,NA,NA,NA,NA,NA,6.11,11.02,5.99,11.86,NA,NA,NA,NA
Lyrm9,M01773255,WT,WT,Female,2014-07-21,MGHA,109.7,0,71,38.7,80,1.37,1.89,0.1,15640.83,NA,16517.67,13382.67,11799.33,NA,NA,NA,NA,NA,6.51,11.23,5.88,10.87,NA,NA,NA,NA
Pdcd2,M01786202,Pdcd2(b):Het,Het,Female,2014-07-23,MUCT,102,0,73.7,28.3,84,1.22,2.82,0,13551.33,NA,14238,11129.5,13018,NA,NA,NA,NA,NA,5.05,8.43,4.05,13.11,NA,NA,NA,NA
Ano10,M01788948,Ano10:Hom,Hom,Male,2014-07-23,MFZP,48.7,0,33,15.7,68.3,0.74,2.11,0,12449.5,NA,13550,11223.33,13271.33,NA,NA,NA,NA,NA,4.75,8.64,4.24,12.08,NA,NA,NA,NA
Dcbld2,M01788561,Dcbld2:Hom,Hom,Female,2014-07-23,MFTX,98.3,0.3,68.7,29.7,106,0.93,2.36,0,13265,10115,14003.17,10970.83,13352.17,NA,NA,NA,NA,NA,5.21,8.56,4.77,11.87,NA,NA,NA,NA
Ift140,M01783110,Ift140:Het,Het,Female,2014-07-23,MGAE,121,0,74,47,84.3,1.44,1.66,0,13419.5,NA,16324.5,10395,14838.67,NA,NA,NA,NA,NA,6,10.16,5.35,11.1,NA,NA,NA,NA
Xpnpep1,M01788100,Xpnpep1:Het,Het,Female,2014-07-23,MFHU,104.7,0,75,29.7,100.3,1.09,2.8,0,13060.17,NA,13791,11493.33,11186,NA,NA,NA,NA,NA,5.45,9.73,4.68,11.4,NA,NA,NA,NA
Tmem127,M01783622,Tmem127:Hom,Hom,Female,2014-07-23,MFJN,125.7,0,87,38.7,130,0.97,2.36,0,11799.33,NA,12943.33,9878.5,9413.17,NA,NA,NA,NA,NA,6.67,11.81,6.44,11.79,NA,NA,NA,NA
Xpnpep1,M01788095,Xpnpep1:Hom,Hom,Male,2014-07-23,MFHU,110.3,0,33.7,76.7,32.7,3.55,0.47,0,13933.5,NA,13769.83,13900,13103,NA,NA,NA,NA,NA,5.8,10.06,5.64,10.81,NA,NA,NA,NA
Nrde2,M01781237,Nrde2:Het,Het,Male,2014-07-23,MFUJ,94.7,0,60.3,34.3,69.7,1.36,1.75,0,14657.33,NA,14871.67,13669.33,15659,NA,NA,NA,NA,NA,6.95,12.25,6.22,14.13,NA,NA,NA,NA
Xpnpep1,M01788093,Xpnpep1:Het,Het,Male,2014-07-23,MFHU,103.3,1.3,51.3,52,99.3,1.1,0.99,0.01,11985.67,6063.67,14535.83,10885,12334,NA,NA,NA,NA,NA,8.62,17.37,7.88,15.54,NA,NA,NA,NA
Tcp11,M01780916,Tcp11:Hom,Hom,Female,2014-07-23,MFMT,101.7,0,80.7,21,101.3,1.01,3.94,0,14978.67,NA,15938.17,11062.5,13161.5,NA,NA,NA,NA,NA,5.77,9.77,4.72,12.42,NA,NA,NA,NA
1700067K01Rik,M01792606,WT,WT,Male,2014-07-28,MFLD,82.3,0,51.3,31,62,1.36,1.69,0,14595.83,NA,15091,13425.67,14913.67,2.36,NA,2.39,2.3,2.81,3.57,5.34,3.22,9.33,16.69,14.72,16.69,15.13
