Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Oaf,MGNL,M01800900,WT,WT,Female,2014-08-13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.526,95.251,56.044,85.336,24.462,75.464,0.392,14.463,73.168,26.132,5.673,43.279,4.753,22.888,72.13,0.416,4.749,58.72,13.991,81.01,0.28,1.315,20.694,17.503,82.252,3.55,79.306,60.3,38.869,10.987,0.575,48.088,52.086,13.673,2.872,0.093,6.21,1.66,4.55,9.379,29.077,16.447,83.553,24.128,75.346,55.866,40.507,22.702,19.373,4.739,14.619,0.076,3.283,2.402,0.858,0.186,17.531,0.833,4.013,12.645,0.073,2.019,1.186,0.283,1.636,0.006,0.272,0.048,0.224,0.01,1.043,0.629,0.405,0.115,0.277,0.3,0.079,0.003,0.178,0.048,0.131,0.269,0.835,0.137,0.698,0.168,0.526,0.294
Oaf,MGNL,M01800913,WT,WT,Female,2014-08-13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.401,97.486,55.502,87.136,13.78,86.202,0.371,12.727,67.799,31.215,4.778,43.998,2.066,15.239,82.585,0.229,2.514,61.631,14.262,82.237,0.164,0.609,42.802,10.358,89.386,2.558,57.198,58.086,41.914,7.56,0.438,33.866,66.286,10.122,2.614,0.076,3.605,1.081,2.523,4.952,31.929,28.461,71.539,25.083,74.585,48.998,54.984,30.517,26.591,3.664,22.922,0.099,3.884,2.633,1.212,0.186,24.192,0.5,3.687,19.979,0.055,1.418,0.874,0.202,1.166,0.002,0.261,0.027,0.233,0.007,0.348,0.202,0.146,0.026,0.148,0.29,0.044,0.002,0.094,0.028,0.066,0.129,0.835,0.238,0.597,0.15,0.445,0.218
Fdft1,MFXN,M01801605,Fdft1:Het,Het,Female,2014-08-11,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.825,97.194,53.985,88.758,17.305,82.665,0.372,10.785,75.665,23.21,3.739,45.675,3.357,14.713,81.033,0.103,2.806,64.039,14.554,79.693,0.023,0.49,44.799,13.505,86.495,1.062,55.201,63.67,35.837,5.911,0.416,40.144,60.096,12.981,4.004,0.053,5.423,0.789,4.635,4.889,35.816,17.025,82.975,19.9,79.805,57.111,50.371,27.193,24.136,4.177,19.952,0.09,2.933,2.219,0.681,0.11,23.007,0.772,3.385,18.643,0.024,1.454,0.931,0.212,1.159,0,0.22,0.03,0.19,0.002,0.271,0.172,0.097,0.016,0.167,0.25,0.054,0.002,0.217,0.032,0.186,0.196,1.434,0.244,1.19,0.237,0.95,0.542
Mospd1,MGHQ,M01802418,WT,WT,Male,2014-08-18,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.921,97.316,53.017,86.457,14.365,85.633,0.24,13.168,68.116,30.646,3.402,46.653,2.835,16.829,79.752,0.181,2.684,55.144,13.278,81.507,0,0.354,65.005,9.117,90.883,1.447,34.995,69.355,30.645,14.516,0.612,37.725,62.602,8.982,3.439,0.062,5.36,0.416,4.944,12.598,29.986,21.469,78.531,16.024,83.715,55.859,50.527,26.788,23.16,3.327,19.833,0.056,3.527,2.403,1.081,0.12,23.573,0.668,3.967,18.8,0.043,1.393,0.768,0.185,1.136,0,0.23,0.021,0.209,0.003,0.124,0.086,0.038,0.018,0.231,0.383,0.055,0.002,0.184,0.014,0.17,0.433,1.031,0.221,0.81,0.13,0.678,0.379
Mospd1,MGHQ,M01802419,WT,WT,Male,2014-08-18,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.453,97.787,53.006,88.212,9.128,90.851,0.235,11.194,64.801,33.983,3.184,46.702,2.294,15.649,81.613,0.177,2.213,61.908,14.674,80.169,0.1,0.371,60.772,9.306,90.547,0.739,39.228,36.613,63.387,15.103,0.581,34.251,65.921,8.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.115,31.335,27.641,2.523,25.112,0.065,3.508,2.273,1.192,0.112,27.608,0.633,4.32,22.532,0.049,1.338,0.828,0.196,1.073,0.001,0.226,0.021,0.204,0.002,0.146,0.053,0.092,0.022,0.199,0.383,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snx31,MGEL,M01802593,Snx31:Hom,Hom,Male,2014-08-11,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.98,97.238,52.066,88.129,15.359,84.572,0.244,11.648,51.932,46.678,2.769,47.364,3.249,16.297,79.998,0.265,2.762,58.249,15.77,81.539,0.075,0.9,28.582,6.736,92.617,0.259,71.418,43.494,56.091,4.769,0.555,35.714,64.466,9.424,3.635,0.046,7.134,0.99,6.144,2.476,30.151,12.926,87.074,14.041,85.505,57.149,46.655,24.291,21.407,3.288,18.105,0.052,2.829,1.469,1.321,0.078,22.098,0.718,3.601,17.678,0.059,1.325,0.772,0.209,1.081,0.001,0.257,0.017,0.238,0.001,0.643,0.28,0.361,0.031,0.198,0.358,0.052,0.002,0.259,0.036,0.223,0.09,1.096,0.142,0.954,0.134,0.816,0.466
Fbxo33,MUBU,M01803136,Fbxo33(b):Hom,Hom,Female,2014-08-11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.784,97.269,51.618,88.609,17.66,82.258,0.31,10.615,73.528,25.092,4.16,47.961,2.99,13.733,82.441,0.056,2.731,70.569,13.632,79.562,0.066,0.325,48.205,13.404,86.596,0.426,51.795,73.465,24.158,4.554,0.386,43.523,56.477,10.967,3.824,0.017,5.047,0.994,4.053,14.713,26.828,15.27,84.73,17.485,82.209,60.308,54.261,28.009,24.818,4.383,20.415,0.077,2.973,2.186,0.746,0.124,26.024,0.778,3.574,21.454,0.015,1.523,1.075,0.208,1.212,0.001,0.157,0.021,0.136,0.001,0.168,0.124,0.041,0.008,0.168,0.218,0.042,0.001,0.193,0.038,0.155,0.563,1.026,0.157,0.869,0.152,0.715,0.431
Fbxo33,MUBU,M01803137,Fbxo33(b):Hom,Hom,Female,2014-08-11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.816,97.087,52.565,88.747,19.673,80.239,0.351,10.411,80.061,18.366,4.226,47.109,3.724,15.951,79.07,0.085,2.913,72.55,16.605,74.293,0.103,0.424,42.88,18.165,81.835,0.55,57.12,67.08,31.543,7.438,0.417,53.12,47.2,10.64,4.099,0.035,6.145,1.299,4.846,5.057,24.871,13.872,86.128,16.189,83.32,62.814,54.19,28.485,25.28,4.973,20.284,0.089,2.966,2.374,0.545,0.125,25.528,0.951,4.072,20.185,0.022,1.626,1.18,0.27,1.208,0.002,0.182,0.033,0.149,0.001,0.242,0.162,0.076,0.018,0.221,0.197,0.044,0.001,0.252,0.053,0.199,0.207,1.019,0.141,0.878,0.142,0.732,0.46
Tmem127,MFJN,M01803354,Tmem127:Hom,Hom,Male,2014-08-13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.361,98.445,44.297,86.251,12.14,87.803,0.291,13.608,65.446,33.615,2.809,55.236,2.327,17.687,79.281,0.255,1.555,64.258,19.07,75.511,0.563,0.449,39.569,16.135,83.49,1.126,60.431,66.093,33.415,13.759,0.322,46.846,53.257,9.824,3.81,0.086,1.303,0.329,0.974,17.81,13.5,11.453,88.547,15.928,83.713,71.102,71.236,31.555,27.217,3.304,23.897,0.079,4.294,2.81,1.443,0.121,39.348,0.916,6.959,31.195,0.1,1.125,0.723,0.215,0.85,0.006,0.178,0.029,0.148,0.002,0.271,0.179,0.091,0.037,0.151,0.172,0.032,0.003,0.05,0.013,0.037,0.679,0.514,0.059,0.456,0.073,0.381,0.271
Tmem127,MFJN,M01803356,Tmem127:Hom,Hom,Female,2014-08-13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.17,98.059,43.055,89.442,11.384,88.577,0.211,10.256,79.191,20.292,4.689,56.674,2.707,14.357,81.59,0.094,1.941,72.449,15.069,77.34,0.084,0.36,36.848,23.193,75.301,2.711,63.152,66.608,32.865,10.545,0.142,66.573,33.146,5.337,3.497,0.105,3.962,1.052,2.91,28.226,8.696,20.565,79.435,30.964,68.528,67.407,71.75,30.892,27.63,3.145,24.474,0.058,3.168,2.509,0.643,0.149,40.664,1.101,5.838,33.178,0.038,1.42,1.029,0.214,1.099,0.001,0.133,0.031,0.1,0.004,0.227,0.151,0.075,0.024,0.095,0.047,0.008,0.004,0.139,0.037,0.102,0.987,0.304,0.063,0.242,0.075,0.166,0.112
Tmem127,MFJN,M01803376,Tmem127:Hom,Hom,Female,2014-08-13,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.697,97.999,46.818,82.208,14.239,85.7,0.241,15.897,72.877,26.323,3.891,52.86,2.763,18.787,77.831,0.21,2.001,76.33,17.422,74.271,0.046,0.363,32.271,32.934,66.168,4.192,67.729,66.334,33.381,7.561,0.187,65.103,35.46,14.071,4.718,0,1.36,0.52,0.839,51.142,8.261,25,75,18.97,80.217,74.324,74.182,34.731,28.552,4.066,24.469,0.069,5.521,4.024,1.453,0.215,39.212,1.084,7.367,30.519,0.082,1.515,1.156,0.264,1.125,0.001,0.117,0.039,0.077,0.005,0.246,0.163,0.082,0.019,0.122,0.066,0.026,0,0.064,0.025,0.04,2.413,0.39,0.097,0.292,0.055,0.234,0.174
Kif1bp,MGCY,M01803738,WT,WT,Male,2014-08-18,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.242,97.103,54.101,85.8,16.961,83.014,0.165,12.377,62.092,37.082,3.827,45.584,2.52,23.715,72.999,0.163,2.897,62.766,10.923,86.238,0.092,0.512,72.591,5.022,94.978,1.076,27.409,82.185,17.34,9.501,0.595,37.444,62.668,7.007,3.744,0.042,3.208,0.749,2.459,29.112,17.609,20.947,79.053,22.843,76.751,45.767,48.786,26.394,22.646,3.841,18.799,0.037,3.267,2.028,1.211,0.125,22.239,0.56,5.274,16.234,0.036,1.456,0.914,0.159,1.255,0.001,0.372,0.019,0.353,0.004,0.14,0.115,0.024,0.013,0.223,0.373,0.042,0.002,0.12,0.028,0.092,1.09,0.659,0.138,0.521,0.119,0.4,0.183
Chd9,MGJD,M01803762,Chd9:Hom,Hom,Male,2014-08-11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.325,97.428,51.363,87.293,14.678,85.318,0.262,12.07,74.125,24.509,4.02,48.389,2.079,23.952,73.51,0.181,2.572,67.885,10.565,86.531,0.094,0.796,35.065,4.421,95.341,0.597,64.935,39.484,60.065,7.032,0.53,38.742,61.509,5.472,5.701,0.084,3.809,0.335,3.474,12.042,19.009,15.385,84.615,18.703,80.776,46.882,53.902,27.686,24.168,3.547,20.619,0.063,3.342,2.477,0.819,0.134,26.083,0.542,6.247,19.173,0.047,1.423,0.966,0.15,1.231,0.001,0.279,0.012,0.266,0.002,0.517,0.204,0.31,0.036,0.205,0.326,0.029,0.005,0.217,0.019,0.198,0.686,1.084,0.167,0.917,0.171,0.741,0.347
Nat10,MGEG,M01804335,Nat10:Het,Het,Female,2014-08-20,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.057,97.614,56.089,89.381,14.405,85.52,0.189,10.692,69.253,29.541,3.403,43.503,2.96,10.568,85.606,0.145,2.386,63.932,14.461,78.922,0,0.557,33.792,12.035,87.965,1.239,66.208,57.001,42.276,17.706,0.411,39.465,60.697,15.154,2.289,0.073,5.272,0.932,4.34,6.35,32.348,24.043,75.957,20.865,78.779,66.215,56.671,31.786,28.411,4.093,24.297,0.054,3.399,2.354,1.004,0.116,24.654,0.73,2.605,21.105,0.036,1.385,0.886,0.2,1.093,0,0.188,0.023,0.166,0.002,0.369,0.21,0.156,0.065,0.162,0.25,0.062,0.002,0.121,0.021,0.099,0.145,0.74,0.178,0.562,0.117,0.443,0.293
Sap130,MGBF,M01805363,Sap130:Het,Het,Female,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.313,96.902,56.61,86.667,13.653,86.352,0.497,13.113,65.528,34.085,5.448,43.118,2.404,19.398,78.482,0.385,3.098,66.507,19.45,75.793,0.038,0.46,48.95,22.781,76.923,1.331,51.05,76.17,23.404,8.085,0.47,37.473,62.598,13.485,3.063,0.04,4.753,1.511,3.243,8.499,21.611,21.715,78.285,30.238,69.524,50.171,54.569,30.891,26.773,3.655,23.119,0.133,4.051,2.654,1.381,0.221,23.529,0.566,4.564,18.466,0.091,1.745,1.16,0.339,1.322,0.001,0.225,0.051,0.173,0.003,0.235,0.179,0.055,0.019,0.176,0.294,0.063,0.001,0.146,0.046,0.099,0.26,0.662,0.144,0.518,0.157,0.36,0.181
Sap130,MGBF,M01805365,Sap130:Het,Het,Female,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.642,96.439,57.405,86.659,19.075,80.902,0.318,13.075,67.801,31.243,3.831,42.041,3.451,21.633,74.851,0.113,3.561,63.028,24.133,70.739,0.038,0.495,34.657,17.087,82.718,0.971,65.343,67.559,31.514,8.342,0.462,39.438,60.707,5.696,2.661,0.063,6.74,1.315,5.425,5.725,35.217,18.677,81.323,23.228,76.509,64.608,47.874,27.482,23.816,4.543,19.268,0.076,3.593,2.436,1.123,0.138,20.127,0.695,4.354,15.065,0.023,1.768,1.114,0.427,1.251,0.001,0.172,0.029,0.142,0.002,0.324,0.219,0.102,0.027,0.182,0.281,0.026,0.002,0.179,0.035,0.144,0.152,0.937,0.175,0.762,0.177,0.583,0.377
Erlin2,MFKU,M01806321,Erlin2:Hom,Hom,Male,2014-08-26,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.654,97.203,57.084,85.565,14.076,85.811,0.266,13.839,47.811,51.038,2.404,42.395,2.999,12.531,83.727,0.158,2.797,60.531,12.364,84.475,0.092,0.449,47.997,11.128,88.563,1.391,52.003,49.501,50.499,7.846,0.596,34.544,65.679,9.335,2.848,0.129,6.812,0.901,5.911,13.226,40.66,25.273,74.727,17.874,82.049,52.911,50.209,28.661,24.524,3.452,21.044,0.065,3.966,1.896,2.024,0.095,21.286,0.638,2.667,17.822,0.034,1.445,0.875,0.179,1.221,0.001,0.216,0.024,0.191,0.003,0.234,0.116,0.118,0.018,0.206,0.392,0.056,0.004,0.194,0.026,0.168,0.377,1.158,0.293,0.865,0.155,0.71,0.376
Erlin2,MFKU,M01806322,Erlin2:Hom,Hom,Male,2014-08-26,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.762,97.091,56.918,84.458,18.467,81.459,0.239,15.111,50.442,48.24,2.996,42.627,4.027,12.32,82.251,0.249,2.909,54.947,15.652,81.152,0.118,0.547,34.044,14.132,85.152,1.789,65.956,71.376,28.532,3.324,0.454,40.308,59.985,10.94,2.286,0.069,8.088,0.762,7.326,8.85,34.413,25.617,74.383,20.839,78.958,53.813,47.344,26.947,22.759,4.203,18.539,0.054,4.072,2.054,1.964,0.122,20.181,0.813,2.486,16.599,0.05,1.418,0.779,0.222,1.151,0.002,0.186,0.026,0.159,0.003,0.361,0.258,0.103,0.012,0.183,0.272,0.05,0.002,0.185,0.017,0.167,0.202,0.787,0.202,0.585,0.122,0.462,0.249
Atp11a,MFTN,M01806445,Atp11a:Het,Het,Male,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.547,96.75,55.211,90.867,14.702,85.224,0.228,8.745,64.16,34.534,5.838,44.467,2.557,24.083,72.892,0.23,3.25,55.198,10.656,85.828,0.237,0.499,73.079,5.484,94.607,0.457,26.921,74.194,23.821,8.933,0.518,31.552,68.641,7.598,2.818,0.024,4.908,1.23,3.678,18.474,19.279,22.331,77.669,20.616,78.673,45.683,46.002,25.398,23.078,3.393,19.668,0.053,2.221,1.425,0.767,0.13,20.455,0.523,4.926,14.91,0.047,1.545,0.853,0.165,1.326,0.004,0.365,0.02,0.345,0.002,0.134,0.1,0.032,0.012,0.163,0.355,0.039,0.001,0.138,0.035,0.104,0.521,0.543,0.121,0.422,0.087,0.332,0.152
Atp11a,MFTN,M01806446,Atp11a:Het,Het,Male,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.036,97.426,51.115,87.596,14.605,85.391,0.199,11.657,63.66,35.225,4.112,48.627,2.826,19.329,77.178,0.212,2.574,58.269,14.382,81.999,0.288,0.462,75.703,5.048,95.048,1.333,24.297,61.128,38.279,20.772,0.549,34.73,65.634,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.646,26.91,23.572,3.443,20.128,0.047,3.137,1.997,1.105,0.129,25.6,0.723,4.948,19.758,0.054,1.391,0.81,0.2,1.14,0.004,0.35,0.018,0.333,0.005,0.112,0.069,0.043,0.023,0.191,0.36,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atp11a,MFTN,M01806449,Atp11a:Het,Het,Female,2014-08-18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.356,97.386,54.724,91.355,13.483,86.519,0.214,8.306,63.495,35.85,5.198,44.875,3.07,17.109,79.478,0.187,2.614,61.055,12.718,82.372,0.362,0.388,70.386,8.78,91.22,0.854,29.614,74.783,25.217,11.594,0.525,39.848,60.343,11.548,2.581,0.039,12.192,1.692,10.5,13.586,29.059,39.111,60.889,16.715,82.847,54.097,54.883,30.034,27.438,3.699,23.739,0.059,2.495,1.584,0.894,0.13,24.628,0.756,4.214,19.574,0.046,1.473,0.899,0.187,1.213,0.005,0.273,0.024,0.249,0.002,0.115,0.086,0.029,0.013,0.209,0.317,0.061,0.001,0.315,0.044,0.271,0.351,0.75,0.293,0.457,0.076,0.378,0.205
Bpifb1,MGDH,M01806527,Bpifb1:Hom,Hom,Male,2014-08-20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.537,97.743,54.914,82.784,15.289,84.682,0.211,17.555,52.139,46.911,2.961,44.833,3.894,19.577,74.784,0.213,2.257,64.933,19.598,75.952,0.295,0.44,54.15,9.077,90.923,0.298,45.85,63.972,35.325,7.733,0.318,47.164,52.948,10.011,4.105,0.241,3.225,0.897,2.328,39.162,13.623,16.582,83.418,20.486,79.059,65.067,57.216,31.419,26.01,3.977,22.026,0.055,5.516,2.876,2.587,0.163,25.651,0.999,5.022,19.183,0.055,1.321,0.858,0.259,1.004,0.004,0.238,0.022,0.216,0.001,0.202,0.129,0.071,0.016,0.15,0.169,0.032,0.01,0.132,0.037,0.096,1.608,0.559,0.093,0.466,0.096,0.369,0.24
Bpifb1,MGDH,M01806529,Bpifb1:Hom,Hom,Male,2014-08-20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.583,97.783,53.158,90.075,14.108,85.815,0.204,10.024,75.773,22.966,6.288,46.657,3.337,21.995,73.956,0.187,2.217,62.547,13.069,81.921,0.209,0.479,70.023,7.692,92.14,0.502,29.977,69.531,30.078,11.328,0.593,43.992,56.386,9.555,5.868,0.266,3.806,1.623,2.184,13.898,14.547,26.775,73.225,13.573,86.15,63.023,59.24,31.491,28.365,4.002,24.342,0.058,3.157,2.392,0.725,0.198,27.639,0.922,6.079,20.441,0.052,1.343,0.84,0.175,1.1,0.003,0.335,0.026,0.309,0.002,0.144,0.1,0.043,0.016,0.261,0.334,0.057,0.016,0.223,0.095,0.128,0.815,0.854,0.229,0.625,0.085,0.538,0.339
Dynlrb2,MFYF,M01806788,Dynlrb2:Het,Het,Female,2014-08-13,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.787,96.941,53.436,86.558,19.525,80.448,0.286,13.238,74.968,24.342,4.962,46.128,3.274,19.568,77.048,0.217,3.059,65.6,14.734,80.087,0.124,0.916,34.545,9.895,90,1.263,65.455,53.778,45.722,16,0.586,34.775,65.282,15.424,5.689,0.137,1.657,0.329,1.328,5.641,13.664,16.834,83.166,14.578,85.301,58.051,51.172,27.344,23.669,4.621,19.041,0.068,3.62,2.714,0.881,0.18,23.605,0.773,4.619,18.187,0.051,1.615,1.059,0.238,1.293,0.002,0.317,0.031,0.285,0.004,0.6,0.323,0.274,0.096,0.204,0.382,0.09,0.008,0.094,0.019,0.076,0.321,0.777,0.131,0.646,0.094,0.551,0.32
Trmt2a,MUFP,M01807070,Trmt2a(b):Hom,Hom,Female,2014-08-20,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.983,97.087,54.787,87.747,21.323,78.658,0.442,12.319,79.77,19.328,6.366,44.882,3.171,16.719,79.693,0.159,2.913,66.112,16.911,77.603,0.13,0.331,41.65,24.879,74.879,1.449,58.35,89.828,9.31,5.345,0.398,55.658,44.761,10.897,3.177,0.176,6.261,1.446,4.815,11.411,26.79,19.882,80.118,22.432,77.403,59.13,51.439,28.182,24.729,5.273,19.451,0.109,3.472,2.769,0.671,0.221,23.087,0.732,3.86,18.399,0.037,1.543,1.02,0.261,1.198,0.002,0.138,0.034,0.103,0.002,0.193,0.174,0.018,0.01,0.221,0.178,0.043,0.006,0.199,0.046,0.153,0.363,0.851,0.169,0.682,0.153,0.528,0.312
