Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Mast2,MFRU,M01688224,Mast2:Hom,Hom,Male,2014-04-09,15.6,11.306,24.302,NA,NA,23.866,10.854,26.503,0.962,2.067,NA,NA,2.03,0.923,2.254,8.506,61.915,26.63,NA,2.122,0.82
Tgfb1i1,MUDL,M01687468,Tgfb1i1(b):Hom,Hom,Female,2014-04-09,15.7,9.982,20.398,NA,NA,36.367,13.611,17.281,1.584,3.237,NA,NA,5.771,2.16,2.742,15.869,51.79,27.488,NA,3.627,1.21
Tgfb1i1,MUDL,M01687464,Tgfb1i1(b):Hom,Hom,Female,2014-04-09,15.7,12.872,11.775,NA,NA,33.167,11.095,24.979,0.93,0.851,NA,NA,2.396,0.802,1.805,7.224,60.613,26.368,NA,3.874,1.868
5730559C18Rik,MGHU,M01691086,WT,WT,Male,2014-04-09,15.9,6.539,26.985,NA,NA,36.335,12.173,15.06,0.987,4.072,NA,NA,5.483,1.837,2.273,15.09,58.365,23.487,NA,1.987,0.937
5730559C18Rik,MGHU,M01691087,WT,WT,Male,2014-04-09,15.9,9.598,20.675,NA,NA,28.928,9.527,24.75,1.007,2.169,NA,NA,3.036,1,2.597,10.493,58.452,26.948,NA,3.265,0.825
Tgfb1i1,MUDL,M01687466,Tgfb1i1(b):Hom,Hom,Male,2014-04-09,15.7,5.157,25.827,NA,NA,37.586,14.523,15.45,0.837,4.192,NA,NA,6.1,2.357,2.507,16.229,55.121,25.663,NA,2.184,0.771
Polr3f,MFVN,M01686924,WT,WT,Female,2014-04-09,15.7,9.631,9.759,NA,NA,32.198,9.349,33.53,0.735,0.744,NA,NA,2.456,0.713,2.557,7.626,59.637,27.524,NA,2.551,2.438
Polr3f,MFVN,M01686759,WT,WT,Female,2014-04-09,15.6,13.599,14.11,NA,NA,36.913,11.431,19.96,1.147,1.19,NA,NA,3.113,0.964,1.683,8.433,59.477,27.735,NA,2.955,1.384
Medag,MUDW,M01693210,Medag(b):Hom,Hom,Female,2014-04-09,15.7,8.652,20.924,NA,NA,37.916,13.182,16.981,1.364,3.3,NA,NA,5.98,2.079,2.678,15.771,51.114,28.071,NA,3.888,1.151
Polr3f,MFVN,M01686757,WT,WT,Female,2014-04-09,15.6,7.933,15.881,NA,NA,42.077,13.119,18.062,1.252,2.506,NA,NA,6.639,2.07,2.85,15.779,53.66,26.211,NA,3.151,1.159
Trem1,MFZX,M01692916,Trem1(Vlcg):Hom,Hom,Male,2014-04-09,15.7,9.219,21.388,NA,NA,33.758,12.094,19.304,1.132,2.626,NA,NA,4.146,1.485,2.371,12.281,59.55,23.15,NA,3.09,1.729
Trem1,MFZX,M01692917,Trem1(Vlcg):Hom,Hom,Male,2014-04-09,15.7,7.679,24.499,NA,NA,38.367,14.151,12.428,0.836,2.666,NA,NA,4.175,1.54,1.352,10.883,60.267,26.315,NA,1.771,0.734
Mast2,MFRU,M01688220,Mast2:Hom,Hom,Male,2014-04-09,15.6,7.955,33.086,NA,NA,28.01,11.689,17.171,0.946,3.936,NA,NA,3.332,1.391,2.043,11.896,57.276,27.673,NA,2.214,0.936
Cir1,MGHD,M01684772,WT,WT,Male,2014-04-09,16,9.057,22.781,NA,NA,33.789,12.133,17.658,0.884,2.225,NA,NA,3.3,1.185,1.724,9.765,61.964,24.731,NA,2.245,1.273
Medag,MUDW,M01693205,Medag(b):Hom,Hom,Male,2014-04-09,15.7,6.711,26.43,NA,NA,29.896,12.308,21.341,0.869,3.423,NA,NA,3.872,1.594,2.764,12.951,53.999,29.768,NA,2.107,1.167
Fbxw26,MUBR,M01642877,Fbxw26(b):Hom,Hom,Male,2014-02-12,15.7,6.558,25.522,NA,NA,37.828,12.062,16.468,1.397,5.437,NA,NA,8.058,2.569,3.508,21.301,46.281,29.443,NA,1.568,1.363
Stard8,MUAL,M01642735,WT,WT,Male,2014-02-12,15.9,9.403,20.434,NA,NA,32.866,14.181,21.64,0.94,2.043,NA,NA,3.286,1.418,2.163,9.998,59.428,28.271,NA,1.472,0.81
Klf17,MUBV,M01639184,Klf17(b):Hom,Hom,Male,2014-02-12,15.7,8.434,20.86,NA,NA,32.722,11.725,23.613,1.745,4.316,NA,NA,6.77,2.426,4.885,20.689,51.186,25.012,NA,1.903,1.163
Dip2a,MUBY,M01636361,WT,WT,Female,2014-02-12,15.9,13.667,7.624,NA,NA,43.025,14.634,15.83,2.554,1.425,NA,NA,8.041,2.735,2.959,18.689,48.854,27.961,NA,3.079,1.363
Klf17,MUBV,M01639185,Klf17(b):Hom,Hom,Male,2014-02-12,15.7,8.193,20.444,NA,NA,28.143,12.284,28.622,1.427,3.561,NA,NA,4.902,2.139,4.985,17.417,52.171,26.851,NA,2.394,1.128
Klf17,MUBV,M01639117,Klf17(b):Hom,Hom,Female,2014-02-12,15.6,11.302,13.031,NA,NA,39.134,14.403,19.111,2.61,3.009,NA,NA,9.036,3.326,4.413,23.09,44.731,28.523,NA,2.422,1.182
Fbxw26,MUBR,M01642881,Fbxw26(b):Hom,Hom,Female,2014-02-12,15.7,7.16,20.174,NA,NA,35.702,14.223,21.32,1.344,3.788,NA,NA,6.704,2.671,4.004,18.779,45.488,31.524,NA,2.621,1.535
N6amt2,MFTF,M01640229,WT,WT,Female,2014-02-12,15.7,7.969,22.429,NA,NA,36.137,13.704,18.334,1.76,4.955,NA,NA,7.983,3.027,4.05,22.091,45.138,28.577,NA,2.748,1.407
N6amt2,MFTF,M01640228,WT,WT,Female,2014-02-12,15.7,13.098,10.892,NA,NA,36.785,14.247,22.436,2.454,2.042,NA,NA,6.893,2.67,4.204,18.739,46.726,29.842,NA,3.379,1.272
Gm16515,MUBX,M01639296,Gm16515(b):Hom,Hom,Female,2014-02-12,15.7,7.25,16.645,NA,NA,40.855,13.841,19.288,1.761,4.042,NA,NA,9.922,3.362,4.684,24.287,42.649,28.814,NA,2.964,1.22
Stard8,MUAL,M01642758,WT,WT,Male,2014-02-12,15.6,8.738,20.144,NA,NA,35.803,13.09,20.306,1.304,3.005,NA,NA,5.342,1.953,3.03,14.919,56.282,26.263,NA,1.611,0.892
Stard8,MUAL,M01642759,WT,WT,Male,2014-02-12,15.6,10.7,17.59,NA,NA,32.736,12.829,23.676,1.256,2.065,NA,NA,3.842,1.506,2.779,11.738,58.619,27.163,NA,1.53,0.915
Slitrk4,MUAB,M01645049,Slitrk4(b):Hom,Hom,Female,2014-02-12,15.7,9.245,13.277,NA,NA,37.431,13.697,23.64,2.394,3.438,NA,NA,9.692,3.546,6.121,25.893,41.549,27.524,NA,3.46,1.53
Wnt16,MUBC,M01652190,WT,WT,Male,2014-02-17,15.7,5.682,39.465,NA,NA,22.527,9.58,20.863,1.027,7.132,NA,NA,4.071,1.731,3.77,18.07,50.031,27.323,NA,1.845,2.72
Vps33b,MEXC,M01642570,WT,WT,Female,2014-02-17,16,6.82,29.452,NA,NA,27.22,12.225,22.543,1.256,5.425,NA,NA,5.013,2.252,4.152,18.417,47.682,27.816,NA,2.847,3.225
Vps33b,MEXC,M01642571,WT,WT,Female,2014-02-17,16,6.214,21.892,NA,NA,33.861,14.728,22.326,1.402,4.938,NA,NA,7.638,3.322,5.036,22.556,43.132,28.804,NA,3.38,2.116
Vps33b,MEXC,M01642601,WT,WT,Female,2014-02-17,16,7.615,30.003,NA,NA,25.337,11.05,24.656,1.392,5.483,NA,NA,4.631,2.019,4.506,18.276,47.335,26.758,NA,4.114,3.503
Myo10,MFQX,M01651299,Myo10:Hom,Hom,Male,2014-02-17,15.7,6.926,15.603,NA,NA,29.197,10.634,35.084,0.992,2.235,NA,NA,4.181,1.523,5.024,14.319,54.324,27.905,NA,2.427,1.022
Wnt16,MUBC,M01652178,WT,WT,Male,2014-02-17,15.7,5.975,34.379,NA,NA,27.544,11.933,18.779,1.132,6.513,NA,NA,5.218,2.261,3.558,18.946,48.871,28.413,NA,1.793,1.972
Myo10,MFQX,M01651302,Myo10:Hom,Hom,Female,2014-02-17,15.7,8.04,19.696,NA,NA,24.858,10.754,34.28,1.242,3.044,NA,NA,3.842,1.662,5.298,15.454,50.286,27.734,NA,3.426,3.089
Wnt16,MUBC,M01652177,WT,WT,Male,2014-02-17,15.7,5.911,31.02,NA,NA,26.235,11.667,23.542,0.973,5.107,NA,NA,4.319,1.921,3.875,16.462,51.079,27.385,NA,2.006,3.056
Stard8,MUAL,M01642748,Stard8(b):Hemi,Hom,Male,2014-02-17,16,6.387,29.649,NA,NA,25.852,10.542,25.791,1.139,5.286,NA,NA,4.609,1.88,4.598,17.829,50.019,27.681,NA,2.637,1.824
Izumo1r,MFVS,M01647795,Izumo1r:Hom,Hom,Male,2014-02-17,15.4,7.871,36.528,NA,NA,25.677,10.306,17.284,0.983,4.56,NA,NA,3.206,1.287,2.158,12.485,55.1,27.59,NA,2.035,2.773
Rbm47,MFRM,M01640958,Rbm47:Hom,Hom,Female,2014-02-17,16.1,8.335,32.001,NA,NA,25.821,11.311,21.179,1.702,6.535,NA,NA,5.274,2.31,4.325,20.423,45.331,29.089,NA,2.622,2.515
Rbm47,MFRM,M01640956,Rbm47:Hom,Hom,Female,2014-02-17,16.1,7.962,27.801,NA,NA,27.348,12.657,22.761,1.494,5.216,NA,NA,5.131,2.375,4.27,18.762,45.201,30.73,NA,2.696,2.596
Rbm47,MFRM,M01640962,Rbm47:Hom,Hom,Male,2014-02-17,15.9,6.361,37.279,NA,NA,24.788,10.394,18.837,1.179,6.91,NA,NA,4.594,1.927,3.492,18.535,48.415,27.667,NA,1.802,3.574
Stard8,MUAL,M01642747,Stard8(b):Hemi,Hom,Male,2014-02-17,16,5.061,35.132,NA,NA,26.06,10.372,22.272,1.02,7.079,NA,NA,5.251,2.09,4.488,20.15,46.018,29.338,NA,2.16,2.321
Rbm47,MFRM,M01640960,Rbm47:Hom,Hom,Male,2014-02-17,15.9,6.315,29.796,NA,NA,30.24,12.025,20.274,1.256,5.926,NA,NA,6.014,2.391,4.032,19.886,49.054,27.175,NA,1.932,1.944
Serinc3,MFXJ,M01654747,Serinc3:Hom,Hom,Female,2014-02-19,15.7,9.697,19.203,NA,NA,39.021,16.319,14.632,1.983,3.927,NA,NA,7.979,3.337,2.992,20.448,40.019,35.133,NA,2.848,1.435
Gm16515,MUBX,M01646584,Gm16515(b):Hom,Hom,Male,2014-02-19,15.6,9.65,23.471,NA,NA,32.899,15.922,17.512,1.304,3.173,NA,NA,4.447,2.152,2.367,13.516,50.087,32.395,NA,2.307,1.669
Lonrf3,MUAN,M01654830,Lonrf3(b):Hom,Hom,Female,2014-02-19,15.6,6.259,24.879,NA,NA,39.764,16.632,12.175,1.349,5.363,NA,NA,8.571,3.585,2.624,21.554,42.02,31.859,NA,2.673,1.882
Gm16515,MUBX,M01646590,Gm16515(b):Hom,Hom,Male,2014-02-19,15.6,19.744,23.771,NA,NA,27.032,12.469,15.961,1.226,1.477,NA,NA,1.679,0.775,0.991,6.212,60.09,30.773,NA,1.681,1.212
Uevld,MFTT,M01647712,Uevld:Hom,Hom,Female,2014-02-19,15.9,10.853,45.683,NA,NA,18.873,7.972,15.115,1.858,7.82,NA,NA,3.23,1.365,2.587,17.117,41.327,35.365,NA,3.402,2.767
Lonrf3,MUAN,M01654785,Lonrf3(b):Hemi,Hom,Male,2014-02-19,15.6,6.002,26.409,NA,NA,43.065,13.966,9.839,1.073,4.721,NA,NA,7.698,2.496,1.759,17.875,50.626,27.929,NA,2.436,0.97
Bai1,MEMT,M01651677,Bai1:Hom,Hom,Female,2014-02-19,15.7,15.622,25.074,NA,NA,32.551,10.074,15.206,2.41,3.867,NA,NA,5.021,1.554,2.346,15.426,42.907,36.441,NA,3.563,1.6
N6amt2,MFTF,M01653471,N6amt2:Hom,Hom,Female,2014-02-19,15.7,9.04,23.032,NA,NA,35.694,13.49,18.162,1.959,4.99,NA,NA,7.734,2.923,3.935,21.667,40.617,31.8,NA,3.79,2.114
Armc7,MUCC,M01696290,Armc7(tm1.1):Het,Het,Male,2014-04-16,16.1,8.351,35.715,NA,NA,22.19,9.735,23.376,0.902,3.856,NA,NA,2.396,1.051,2.524,10.797,55.13,31.145,NA,2.007,0.921
Smpd4,MUBD,M01700316,Smpd4(b):Het,Het,Female,2014-04-16,15.9,10.175,29.643,NA,NA,24.122,10.828,24.414,1.652,4.814,NA,NA,3.917,1.758,3.965,16.239,47.812,31.053,NA,3.846,1.048
Pced1a,MUCD,M01694386,Pced1a(b):Hom,Hom,Female,2014-04-16,15.6,7.949,18.787,NA,NA,30.828,16.9,25.093,1.473,3.481,NA,NA,5.712,3.131,4.649,18.529,49.476,28.115,NA,2.759,1.119
Zfp616,MUCF,M01694834,Zfp616(b):Hom,Hom,Male,2014-04-16,16,10.326,38.07,NA,NA,22.716,9.012,19.573,1.323,4.878,NA,NA,2.911,1.155,2.508,12.814,54.413,29.358,NA,2.474,0.941
Armc7,MUCC,M01696296,Armc7(tm1.1):Het,Het,Female,2014-04-16,16.1,15.198,20.762,NA,NA,18.606,9.455,34.853,1.423,1.944,NA,NA,1.742,0.885,3.264,9.365,51.204,33.647,NA,4.628,1.154
Pced1a,MUCD,M01694387,Pced1a(b):Hom,Hom,Female,2014-04-16,15.6,10.2,30.015,NA,NA,27.422,11.219,20.493,2.097,6.169,NA,NA,5.636,2.306,4.212,20.554,42.647,31.678,NA,3.902,1.218
Zfp616,MUCF,M01694839,Zfp616(b):Hom,Hom,Female,2014-04-16,16,11.961,19.6,NA,NA,27.072,14.434,26.289,1.669,2.736,NA,NA,3.778,2.015,3.669,13.957,46.152,35.239,NA,3.52,1.131
Zfp616,MUCF,M01694838,Zfp616(b):Hom,Hom,Female,2014-04-16,16,8.471,15.939,NA,NA,20.267,12.705,41.296,1.012,1.904,NA,NA,2.42,1.517,4.932,11.943,49.916,34.06,NA,2.457,1.625
Pced1a,MUCD,M01694376,Pced1a(b):Hom,Hom,Male,2014-04-16,15.6,6.175,27.547,NA,NA,27.209,13.543,24.951,0.962,4.291,NA,NA,4.239,2.11,3.888,15.58,51.901,29.028,NA,2.417,1.073
Pitrm1,MFXT,M01697185,Pitrm1:Het,Het,Male,2014-04-16,16,8.646,26.894,NA,NA,30.771,13.265,20.019,1.705,5.304,NA,NA,6.068,2.616,3.947,19.719,49.101,27.777,NA,2.417,0.979
Medag,MUDW,M01699958,Medag(b):Hom,Hom,Male,2014-04-16,15.7,7.341,28.464,NA,NA,22.886,10.223,30.137,1.053,4.084,NA,NA,3.284,1.467,4.324,14.349,52.137,28.989,NA,3.225,1.299
Medag,MUDW,M01699957,Medag(b):Hom,Hom,Male,2014-04-16,15.7,7.71,33.671,NA,NA,24.458,11.093,22.385,1.106,4.832,NA,NA,3.51,1.592,3.212,14.35,53.435,29.117,NA,2.135,0.962
Medag,MUDW,M01699961,Medag(b):Hom,Hom,Female,2014-04-16,15.7,6.722,31.001,NA,NA,27.655,11.489,22.693,1.337,6.169,NA,NA,5.503,2.286,4.515,19.898,46.811,28.434,NA,3.528,1.328
Medag,MUDW,M01699960,Medag(b):Hom,Hom,Female,2014-04-16,15.7,7.033,26.347,NA,NA,21.31,10.909,33.341,1.194,4.474,NA,NA,3.618,1.852,5.661,16.979,46.352,30.797,NA,4.291,1.581
Pced1a,MUCD,M01694375,Pced1a(b):Hom,Hom,Male,2014-04-16,15.6,9.208,30.052,NA,NA,27.308,12.277,20.637,1.269,4.142,NA,NA,3.764,1.692,2.844,13.783,51.797,31.064,NA,2.199,1.147
Zfp616,MUCF,M01703363,Zfp616(b):Hom,Hom,Male,2014-04-24,15.9,8.113,23.162,NA,NA,34.878,11.645,21.46,1.533,4.378,NA,NA,6.592,2.201,4.056,18.9,34.921,41.638,NA,2.922,1.607
Zfp616,MUCF,M01703361,Zfp616(b):Hom,Hom,Male,2014-04-24,15.9,7.949,19.074,NA,NA,30.819,12.959,28.288,1.384,3.321,NA,NA,5.366,2.257,4.926,17.412,45.944,32.848,NA,2.594,1.18
Ell2,MUAK,M01702421,WT,WT,Male,2014-04-24,16,13.129,11.899,NA,NA,33.157,14.719,26.188,1.85,1.677,NA,NA,4.672,2.074,3.69,14.091,50.882,31.501,NA,2.419,1.104
Col4a3bp,MFGR,M01709348,WT,WT,Female,2014-04-24,15.7,11.525,12.435,NA,NA,36.829,15.256,23.332,2.136,2.305,NA,NA,6.826,2.828,4.325,18.535,40.202,37.72,NA,2.495,1.045
Armc7,MUCC,M01706896,Armc7(tm1.1):Het,Het,Male,2014-04-24,16.1,7.913,18.019,NA,NA,32.058,12.942,28.282,1.363,3.105,NA,NA,5.523,2.23,4.873,17.229,43.054,36.073,NA,2.298,1.341
Zfp182,MUAP,M01706189,Zfp182(b):Hom,Hom,Female,2014-04-24,15.9,11.846,16.68,NA,NA,31.782,12.329,26.352,2.557,3.6,NA,NA,6.859,2.661,5.687,21.582,34.515,38.401,NA,3.634,1.865
Trmt2a,MUFP,M01705292,WT,WT,Female,2014-04-24,16,14.061,11.462,NA,NA,38.162,12.338,22.947,2.586,2.108,NA,NA,7.019,2.269,4.22,18.392,39.706,37.412,NA,3.211,1.278
Zfp182,MUAP,M01706185,Zfp182(b):Hemi,Hom,Male,2014-04-24,15.9,8.243,20.95,NA,NA,32.845,12.983,24.048,1.468,3.73,NA,NA,5.848,2.312,4.282,17.805,43.491,35.587,NA,2.013,1.101
Dennd1b,MFVH,M01698276,Dennd1b:Hom,Hom,Male,2014-04-24,15.7,8.612,10.864,NA,NA,35.465,14.957,29.052,1.583,1.998,NA,NA,6.52,2.75,5.341,18.385,39.444,38.185,NA,2.631,1.352
Dynlrb1,MDUV,M01700162,WT,WT,Male,2014-04-24,16,8.948,21.858,NA,NA,30.561,12.523,25.349,1.52,3.711,NA,NA,5.19,2.127,4.305,16.981,47.659,32.511,NA,1.681,1.165
Setd5,MEFW,M01699011,Setd5:Het,Het,Male,2014-04-24,16,8.364,21.743,NA,NA,26.865,11.222,30.302,1.716,4.462,NA,NA,5.513,2.303,6.218,20.519,44.041,31.469,NA,2.691,1.274
Setd5,MEFW,M01699014,Setd5:Het,Het,Female,2014-04-24,16,14.902,26.961,NA,NA,26.886,8.86,21.59,2.468,4.464,NA,NA,4.452,1.467,3.575,16.56,33.489,45.055,NA,3.508,1.375
Armc7,MUCC,M01706894,Armc7(tm1.1):Het,Het,Male,2014-04-24,16.1,8.216,20.78,NA,NA,33.029,12.822,24.494,1.654,4.184,NA,NA,6.65,2.581,4.931,20.133,41.692,34.598,NA,2.271,1.301
Col4a3bp,MFGR,M01709371,WT,WT,Female,2014-04-24,15.7,11.635,20.887,NA,NA,32.483,11.173,23.042,2.987,5.362,NA,NA,8.34,2.868,5.916,25.673,31.084,37.018,NA,4.498,1.724
Ell2,MUAK,M01702412,WT,WT,Male,2014-04-24,15.9,11.956,14.149,NA,NA,40.474,14.161,19.043,1.525,1.804,NA,NA,5.162,1.806,2.429,12.755,49.177,35.281,NA,1.853,0.933
1700001C02Rik,MGBV,M01696765,1700001C02Rik:Hom,Hom,Male,2014-04-22,16.3,8.173,24.83,NA,NA,23.75,10.074,31.568,1.304,3.962,NA,NA,3.789,1.607,5.037,15.955,51.012,29.488,NA,2.487,1.056
Rnf157,MUDH,M01700213,Rnf157(b):Hom,Hom,Male,2014-04-22,16.1,9.233,25.614,NA,NA,29.966,12.704,21.507,1.314,3.646,NA,NA,4.266,1.808,3.061,14.235,57.532,25.722,NA,1.726,0.783
Prkab1,MUCJ,M01703329,Prkab1(b):Hom,Hom,Female,2014-04-22,16.1,7.655,17.546,NA,NA,38.354,16.284,19.643,2.13,4.882,NA,NA,10.671,4.531,5.465,27.823,43.812,24.327,NA,2.776,1.261
Tcp11,MFMT,M01697507,Tcp11:Hom,Hom,Male,2014-04-22,15.6,11.26,25.83,NA,NA,30.314,12.985,18.995,1.306,2.996,NA,NA,3.516,1.506,2.203,11.598,60.884,25.166,NA,1.473,0.878
Slc25a28,MUCS,M01706537,Slc25a28(b):Hom,Hom,Female,2014-04-22,15.7,8.709,16.135,NA,NA,31.232,13.348,29.491,1.57,2.909,NA,NA,5.631,2.407,5.317,18.029,48.114,30.233,NA,2.746,0.878
Rnf157,MUDH,M01700214,Rnf157(b):Hom,Hom,Male,2014-04-22,16.1,9.334,16.953,NA,NA,29.029,12.926,30.474,1.506,2.735,NA,NA,4.682,2.085,4.916,16.131,53.623,26.711,NA,2.664,0.869
Card9,MFVJ,M01696638,Card9:Hom,Hom,Male,2014-04-22,16.3,6.842,22.234,NA,NA,26.379,10.957,31.879,1.228,3.989,NA,NA,4.733,1.966,5.719,17.94,52.773,26.103,NA,2.152,1.031
Card9,MFVJ,M01696639,Card9:Hom,Hom,Male,2014-04-22,16.3,7.958,21.592,NA,NA,28.367,11.89,28.891,1.528,4.146,NA,NA,5.447,2.283,5.548,19.203,53.242,24.841,NA,1.722,0.991
Slc25a28,MUCS,M01706567,Slc25a28(b):Hom,Hom,Male,2014-04-22,16.1,9.6,25.761,NA,NA,24.413,10.656,28.67,1.314,3.527,NA,NA,3.342,1.459,3.925,13.689,57.37,26.324,NA,1.763,0.854
Mettl24,MFUB,M01697188,Mettl24:Hom,Hom,Male,2014-04-22,16.1,10.522,22.029,NA,NA,25.988,10.283,30.241,1.308,2.74,NA,NA,3.231,1.279,3.76,12.434,57.264,26.671,NA,2.343,1.288
Mettl24,MFUB,M01697189,Mettl24:Hom,Hom,Male,2014-04-22,16.1,7.149,24.737,NA,NA,26.446,10.408,29.949,1.141,3.948,NA,NA,4.221,1.661,4.781,15.962,53.37,27.134,NA,2.278,1.254
Amz2,MFXD,M01709940,Amz2:Hom,Hom,Female,2014-04-22,16,8.331,23.42,NA,NA,32.588,13.191,21.851,1.949,5.478,NA,NA,7.623,3.086,5.111,23.392,44.542,27.903,NA,2.891,1.272
Card9,MFVJ,M01696643,Card9:Hom,Hom,Female,2014-04-22,16.3,7.402,21.408,NA,NA,30.772,12.95,26.733,1.723,4.982,NA,NA,7.161,3.013,6.221,23.271,45.384,27.667,NA,2.61,1.067
Tcp11,MFMT,M01696986,Tcp11:Hom,Hom,Female,2014-04-22,15.9,12.157,19.516,NA,NA,28.873,10.057,28.248,2.243,3.601,NA,NA,5.326,1.855,5.211,18.447,47.546,28.934,NA,3.899,1.172
Card9,MFVJ,M01696644,Card9:Hom,Hom,Female,2014-04-22,16.3,9.708,21.822,NA,NA,29.75,11.853,25.939,1.685,3.787,NA,NA,5.162,2.057,4.501,17.353,49.182,28.954,NA,3.413,1.097
Mrps5,MUBK,M01707287,Mrps5(b):Het,Het,Male,2014-04-28,15.7,6.911,30.369,NA,NA,29.888,12.715,19.271,1.175,5.162,NA,NA,5.08,2.161,3.276,16.998,53.728,26.177,NA,2.071,1.024
Gpr152,MUBW,M01714729,Gpr152(b):Hom,Hom,Female,2014-04-28,15.7,11.735,19.709,NA,NA,25.858,12.362,28.867,1.726,2.898,NA,NA,3.803,1.818,4.246,14.707,51.072,29.869,NA,3.264,1.085
Pth1r,MFUV,M01705862,WT,WT,Female,2014-04-28,16,8.652,21.653,NA,NA,36.743,14.066,18.336,1.716,4.295,NA,NA,7.289,2.79,3.637,19.837,45.014,29.982,NA,4.116,1.049
Gpr152,MUBW,M01714725,Gpr152(b):Hom,Hom,Male,2014-04-28,15.7,7.502,25.954,NA,NA,26.685,13.13,25.566,1.152,3.985,NA,NA,4.097,2.016,3.925,15.353,53.408,27.414,NA,2.493,1.138
Mast2,MFRU,M01703473,Mast2:Hom,Hom,Female,2014-04-28,15.9,8.332,21.827,NA,NA,30.715,12.3,25.902,1.488,3.899,NA,NA,5.486,2.197,4.627,17.862,47.411,29.815,NA,3.879,1.031
Pth1r,MFUV,M01705861,WT,WT,Female,2014-04-28,16,10.656,21.176,NA,NA,31.978,13.364,21.857,1.679,3.337,NA,NA,5.039,2.106,3.444,15.759,50.93,28.679,NA,3.267,1.365
Dennd1b,MFVH,M01702494,Dennd1b:Hom,Hom,Male,2014-04-28,15.7,9.107,25.105,NA,NA,25.282,12.427,27.113,1.704,4.697,NA,NA,4.73,2.325,5.073,18.709,51.294,26.614,NA,2.369,1.007
Chtop,MFUD,M01711119,WT,WT,Male,2014-04-28,16.1,7.629,33.188,NA,NA,22.35,9.319,25.94,1.029,4.476,NA,NA,3.015,1.257,3.499,13.489,51.734,30.299,NA,2.99,1.488
Dennd1b,MFVH,M01702500,Dennd1b:Hom,Hom,Female,2014-04-28,15.7,7.652,18.755,NA,NA,30.777,14.169,27.865,1.508,3.697,NA,NA,6.065,2.792,5.492,19.708,46.972,27.824,NA,4.461,1.035
Traf2,MFVP,M01712531,Traf2:Het,Het,Male,2014-04-28,15.7,9.317,22.833,NA,NA,24.38,11.791,30.562,1.133,2.777,NA,NA,2.965,1.434,3.717,12.163,58.452,26.709,NA,1.873,0.8
Mast2,MFRU,M01703471,Mast2:Hom,Hom,Female,2014-04-28,15.9,7.454,26.889,NA,NA,30.056,11.869,22.804,1.464,5.28,NA,NA,5.902,2.331,4.478,19.635,43.536,30.873,NA,4.59,1.365
Traf2,MFVP,M01712533,Traf2:Het,Het,Male,2014-04-28,15.7,10.056,22.306,NA,NA,23.334,11.188,31.891,1.173,2.603,NA,NA,2.722,1.305,3.721,11.667,56.08,28.911,NA,2.368,0.972
Chtop,MFUD,M01711128,WT,WT,Female,2014-04-28,16.1,8.439,21.227,NA,NA,29.385,14.359,25.654,1.258,3.165,NA,NA,4.381,2.141,3.825,14.91,50.059,29.769,NA,3.953,1.307
Ccdc18,MFVF,M01708447,WT,WT,Male,2014-04-28,16,7.681,28.371,NA,NA,25.221,11.378,26.222,1.037,3.829,NA,NA,3.404,1.536,3.539,13.498,54.23,29.344,NA,1.917,1.01
Ccdc18,MFVF,M01708445,WT,WT,Male,2014-04-28,16,7.543,34.233,NA,NA,25.7,10.688,20.576,1.124,5.103,NA,NA,3.831,1.593,3.067,14.906,50.835,31.162,NA,1.877,1.218
Nup85,MFSY,M01710835,WT,WT,Female,2014-05-06,16.1,26.027,4.364,NA,NA,14.607,17.337,36.94,1.762,0.295,NA,NA,0.989,1.174,2.501,6.772,64.486,22.811,NA,3.847,1.823
Nup85,MFSY,M01710833,WT,WT,Female,2014-05-06,16.1,23.35,6.081,NA,NA,18.428,18.642,32.558,2.119,0.552,NA,NA,1.673,1.692,2.955,9.077,62.518,23.133,NA,3.565,1.575
Setd5,MEFW,M01718360,WT,WT,Male,2014-05-06,15.4,18.436,12.676,NA,NA,17.925,15.045,34.589,0.508,0.35,NA,NA,0.494,0.415,0.953,2.757,69.242,23.897,NA,2.179,1.533
Nup85,MFSY,M01710836,WT,WT,Female,2014-05-06,16.1,29.966,7.753,NA,NA,13.37,17.108,30.585,1.022,0.264,NA,NA,0.456,0.583,1.043,3.41,64.18,25.882,NA,3.642,1.684
Dcbld2,MFTX,M01713665,Dcbld2:Hom,Hom,Female,2014-05-06,16.3,14.896,14.084,NA,NA,24.309,16.618,27.832,0.604,0.571,NA,NA,0.985,0.674,1.128,4.054,61.476,27.088,NA,5.029,1.931
