Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Sept10,MFXQ,M02068076,Sept10:Hom,Hom,Female,2015-06-15,16,15.001,34.514,14.117,20.397,23.071,8.363,17.371,3.65,8.399,3.435,4.963,5.614,2.035,4.227,24.334,44.332,26.224,0.178,4.828,NA
Chmp6,MUHR,M02070596,Chmp6(b):Het,Het,Female,2015-06-15,16.1,14.593,17.771,6.509,11.262,25.949,11.331,29.111,3.009,3.665,1.342,2.322,5.351,2.337,6.003,20.621,46.481,28.529,0.244,4.024,NA
Dpy30,MFKN,M02075461,WT,WT,Male,2015-06-22,16,10.509,29.078,14.891,14.187,36.358,12.502,11.439,2.749,7.607,3.896,3.712,9.512,3.271,2.993,26.162,47.471,23.855,0.206,2.219,NA
Dpy30,MFKN,M02075462,WT,WT,Male,2015-06-22,16,14.034,31.465,16.494,14.971,30.565,10.326,13.685,2.415,5.415,2.838,2.576,5.26,1.777,2.355,17.208,54.52,25.766,0.203,2.231,NA
4933434E20Rik,MERZ,M02077015,4933434E20Rik:Het,Het,Male,2015-06-22,16,7.456,21.498,11.105,10.393,37.748,14.263,17.863,2.07,5.968,3.083,2.885,10.479,3.959,4.959,27.759,46.149,23.42,0.148,2.419,NA
Raph1,MUFZ,M02072815,WT,WT,Male,2015-06-22,16.1,9.219,32.307,18.753,13.554,29.706,12.993,15.792,2.509,8.791,5.103,3.688,8.084,3.536,4.297,27.212,44.106,25.743,0.191,2.625,NA
ENSMUSG00000065551,MOAD,M02075326,mir-210:Hom,Hom,Male,2015-06-22,15.7,7.849,31.586,18.396,13.189,28.843,11.503,19.039,2.048,8.242,4.8,3.442,7.526,3.002,4.968,26.094,44.76,26.187,0.171,2.668,NA
Fbxo33,MUBU,M02076741,WT,WT,Female,2015-06-22,16.1,12.806,22.627,7.144,15.483,35.023,12.866,16.265,3.317,5.861,1.851,4.011,9.072,3.333,4.213,25.904,45.145,25.015,0.192,3.642,NA
Myh7b,MGXX,M02075106,WT,WT,Female,2015-06-22,16.1,10.014,25.922,11.718,14.204,30.993,12.361,19.96,2.868,7.423,3.356,4.068,8.876,3.54,5.716,28.638,45.374,22.439,0.213,3.254,NA
Slu7,MFMP,M02075193,Slu7:Het,Het,Male,2015-06-22,15.7,7.995,26.641,13.293,13.348,33.786,11.876,18.855,2.437,8.122,4.052,4.069,10.3,3.62,5.748,30.486,42.427,24.228,0.188,2.571,NA
