Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Granulocyte_precursors_-_%_of_CD45+,HFA-_%_of_B220+,HFA-_%_of_CD45+,HFB-_%_of_B220+,HFB-_%_of_CD45+,HFC-_%_of_B220+,HFC-_%_of_CD45+,HFD-_%_of_B220+,HFD-_%_of_CD45+,HFE-_%_of_B220+,HFE-_%_of_CD45+,HFF-_%_of_B220+,HFF-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+
Rida,MGWT,M02226559,Hrsp12:Hom,Hom,Male,2015-12-21,47.2324873233998,5.196109373655065,1.2268442463308145,18.203597968611025,4.29801950350406,8.782601210799644,2.073644526791067,36.52196367601067,8.623136615982848,13.968668407310705,3.298117732336593,13.5095974521562,3.1897272964376806,27.380440268401816,0.07146994367084535,1.7047783246225812,23.610824139904953
Rida,MGWT,M02226570,Hrsp12:Hom,Hom,Female,2015-12-21,42.38575112851507,11.437792845717198,2.641101156135494,11.96296873009357,2.7623695384283486,8.475008139518424,1.95696443338901,32.674150305054994,7.5447892185543886,14.717664878331894,3.398456524794644,16.607448721033933,3.834826579675942,31.450350240085246,0.1555896225644177,2.9173054230828317,23.091003585752436
Mgat4c,MGZS,M02226669,Mgat4c:Hom,Hom,Male,2015-12-21,50.24922801748139,6.476958389735743,1.485581222685318,16.922194102760287,3.8813424902553026,8.479489141310106,1.9448897288358673,34.181331293037495,7.839967602045121,13.257018421517275,3.040683056882034,16.56170914013301,3.7986602095742708,24.549550309636704,0.058046335825051046,2.2067731974419114,22.936402139614938
Mgat4c,MGZS,M02226697,Mgat4c:Hom,Hom,Male,2015-12-21,49.282847532013804,6.695633807066775,1.601772849986285,16.704384297395976,3.9961309137107137,8.869678042304095,2.121861781223382,36.79732053951299,8.802893152583481,14.506200778491898,3.4702672268179655,12.69575450348511,3.037160552644116,24.76467870703221,0.09203516826194293,1.9377914446994962,23.922647147992553
Mgat4c,MGZS,M02226699,Mgat4c:Hom,Hom,Male,2015-12-21,50.43788650885185,6.859599200823394,1.5509977789109477,16.540533995277592,3.7399169743907406,8.653205787976024,1.9565433146588456,35.02603378337471,7.9196027364912265,14.62886722770479,3.3076773021126016,14.34431192105104,3.243337588424327,24.710556846532672,0.10438091848363615,2.1365576199781655,22.610618106153684
Cog6,MGBW,M02227295,Cog6:Hom,Hom,Female,2015-12-21,44.20955658547276,8.015251775338928,1.612379568679334,4.795432537120723,0.9646680681476912,4.414138153647515,0.8879653904531545,59.19343124596514,11.907583419234921,8.116123305358295,1.6326712823551373,12.276065203357005,2.4695015543452676,33.442367474817985,0.16152204085939464,2.0701606292054575,20.11639326964441
Klrb1a,MHAC,M02228022,Klrb1a:Hom,Hom,Male,2015-12-21,53.40557275541795,6.117059130517293,1.3073397596225345,17.28211535116158,3.69353901063988,7.951544288583492,1.699406492084308,36.275362548036625,7.752781645869105,13.763383043663909,2.9415144591507025,13.961064633972766,2.9837630294590833,23.442210715589383,0.06523179255613991,1.714953965957792,21.372030770478727
Gpr35,PMCR,M02229237,Gpr35(b):Hom,Hom,Male,2015-12-21,46.06526363979103,6.75262564367332,1.6729950988312599,16.646512954987024,4.124252706414606,8.101792095216098,2.0072574998653523,35.67478702735018,8.838598050304302,13.388405048844445,3.317040986696828,14.93729704759446,3.7007863413583237,26.839621371250068,0.06867022136047828,2.2509694619486185,24.775475305649806
H13,MUFG,M02229378,WT,WT,Female,2015-12-21,47.35359899196724,9.874547422143248,2.3282406678217042,13.525898809603335,3.189163647818554,9.25196061403626,2.1814458969916526,32.17277451936565,7.585761537249961,14.57200497000628,3.4358166640415813,17.254739542278454,4.068357221609702,26.396597889431405,0.1449047094030556,2.5266971176563238,23.578201291541976
H13,MUFG,M02229379,WT,WT,Female,2015-12-21,41.094380237831516,9.623825658401355,2.611862316871826,13.776374557215462,3.7388451169303436,9.144463268134913,2.4817655541390624,34.45056214384722,9.349725177119689,14.979593408285846,4.065393216159167,14.56953642384106,3.9541056239419845,29.182428054922777,0.13793391711425526,2.4457146439842004,27.139543146147254
Nrbp1,PMBF,M02229433,Nrbp1(b):Het,Het,Male,2015-12-21,52.1134531051068,5.9729887941127275,1.3471966803413968,17.42766348887774,3.9307775734427315,7.202291353069075,1.6244636205026641,38.005937447733736,8.572169566652521,12.253303227964544,2.7637100957231104,13.739755812008697,3.0989767529589285,23.38425991417928,0.05941434432027161,1.8880558306219646,22.55481680577168
Cgrrf1,MUHO,M02230486,Cgrrf1(b):Hom,Hom,Male,2015-12-21,44.162351533794755,7.846218453243744,1.9796633341878151,15.554261098091276,3.9244638126975993,8.604830734634715,2.1710672477142614,34.64826128774435,8.742031957617705,13.530391904523226,3.413825514825258,15.821130061366315,3.991796975134581,28.501409894898742,0.0758779800051269,2.0295650687857814,25.230795522515592
Fam92a,MUGO,M02230538,Fam92a(b):Hom,Hom,Male,2015-12-21,58.40970200585011,10.284945177598319,1.088383855928965,13.114700282318955,1.3878370585497017,6.240562011686691,0.6603950558956152,38.900925743549344,4.116613052268827,8.896329853588076,0.9414364026707613,16.203794891996587,1.7147343481855637,28.96045967108783,0.09761757533228188,1.9499197520999938,10.58230099562979
